label,key,wave,stance_1,stance_2,polarity,timestamp,topic_1,topic_2,topic_conf_1,topic_conf_2,assigned_prob_1,assigned_prob_2
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,My parents served meat with dinner,I eat meat at least once a day,positive,2025-12-09T17:17:40.777Z,1,16,0.3850915273910759,1.0,0.3850915273910759,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I grew up eating meat at meals,I eat meat at least once a day,positive,2025-12-09T17:17:44.327Z,-1,16,0.0120255237788527,1.0,,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,My family eats meat as main portion,My parents served meat with dinner,positive,2025-12-09T17:17:53.627Z,1,1,1.0,0.3850915273910759,1.0,0.3850915273910759
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My family eats meat as main portion,positive,2025-12-09T17:17:59.515Z,-1,1,0.0120255237788527,1.0,,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I eat meat at least once a day,My religious beliefs justify eating animals,positive,2025-12-09T17:18:12.895Z,16,2,1.0,0.1068459187359417,1.0,0.1068459187359417
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My parents served meat with dinner,positive,2025-12-09T17:18:20.141Z,1,1,0.1580761893881577,0.3850915273910759,0.1580761893881577,0.3850915273910759
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I grew up eating meat at meals,Meat-eating is a family tradition,positive,2025-12-09T17:18:24.717Z,-1,1,0.0120255237788527,0.1580761893881577,,0.1580761893881577
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,Meat-eating is a family tradition,positive,2025-12-09T17:18:31.067Z,2,1,0.1068459187359417,0.1580761893881577,0.1068459187359417,0.1580761893881577
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,My parents served meat with dinner,positive,2025-12-09T17:19:03.537Z,2,1,0.1068459187359417,0.3850915273910759,0.1068459187359417,0.3850915273910759
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I eat meat at least once a day,My family eats meat as main portion,positive,2025-12-09T17:19:10.725Z,16,1,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,I grew up eating meat at meals,positive,2025-12-09T17:19:20.797Z,2,-1,0.1068459187359417,0.0120255237788527,0.1068459187359417,
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,My family eats meat as main portion,Meat-eating is a family tradition,positive,2025-12-09T17:19:29.061Z,1,1,1.0,0.1580761893881577,1.0,0.1580761893881577
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I eat meat at least once a day,negative,2025-12-09T17:19:57.587Z,2,16,0.1178851094539843,1.0,0.0987533715393413,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My parents served meat with dinner,negative,2025-12-09T17:20:11.859Z,2,1,0.1178851094539843,0.3850915273910759,0.0987533715393413,0.3850915273910759
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I grew up eating meat at meals,I feel guilty about eating animals,negative,2025-12-09T17:20:16.549Z,-1,2,0.0120255237788527,0.1178851094539843,,0.0987533715393413
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,I feel guilty about eating animals,negative,2025-12-09T17:20:24.559Z,1,2,0.1580761893881577,0.1178851094539843,0.1580761893881577,0.0987533715393413
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My family eats meat as main portion,negative,2025-12-09T17:20:35.837Z,2,1,0.1178851094539843,1.0,0.0987533715393413,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My religious beliefs justify eating animals,negative,2025-12-09T17:20:47.410Z,2,2,0.1178851094539843,0.1068459187359417,0.0987533715393413,0.1068459187359417
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I like the taste of meat,I eat meat at least once daily,positive,2025-12-09T17:23:35.383Z,12,16,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I have no moral issues eating meat,I eat meat at least once daily,positive,2025-12-09T17:23:45.233Z,4,16,0.2311230620142978,1.0,0.2311230620142978,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,I eat meat at least once daily,positive,2025-12-09T17:23:54.666Z,1,16,0.2530205912743371,1.0,0.2530205912743371,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I eat meat at least once daily,Eating meat is a family tradition,positive,2025-12-09T17:24:16.316Z,16,1,1.0,0.1604200438460515,1.0,0.1604200438460515
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I am chronically anemic,I eat meat at least once daily,positive,2025-12-09T17:24:29.682Z,5,16,0.1145272256073393,1.0,0.1048378566295172,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I was raised on a farm,I eat meat at least once daily,positive,2025-12-09T17:24:54.949Z,-1,16,0.0125998799845937,1.0,,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,I believe too much meat can harm health,positive,2025-12-09T17:25:19.316Z,0,4,0.653856660570581,1.0,0.653856660570581,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I eat meat at least once daily,positive,2025-12-09T17:25:35.699Z,0,16,0.2382109373759099,1.0,0.2382109373759099,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I believe too much meat can harm health,positive,2025-12-09T17:25:46.549Z,0,4,0.2382109373759099,1.0,0.2382109373759099,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I believe too much meat can harm health,I like the taste of meat,negative,2025-12-09T17:26:05.049Z,4,12,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,I like the taste of meat,negative,2025-12-09T17:26:12.233Z,0,12,0.653856660570581,1.0,0.653856660570581,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I sometimes reduce meat due to health issues,negative,2025-12-09T17:26:19.299Z,0,0,0.2382109373759099,0.653856660570581,0.2382109373759099,0.653856660570581
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,Eating meat is a family tradition,I believe too much meat can harm health,negative,2025-12-09T17:27:01.916Z,1,4,0.1604200438460515,1.0,0.1604200438460515,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I was raised on a farm,I believe too much meat can harm health,negative,2025-12-09T17:27:13.516Z,-1,4,0.0125998799845937,1.0,,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I have no moral issues eating meat,I believe too much meat can harm health,negative,2025-12-09T17:27:20.483Z,4,4,0.2311230620142978,1.0,0.2311230620142978,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,I believe too much meat can harm health,negative,2025-12-09T17:27:23.816Z,1,4,0.2530205912743371,1.0,0.2530205912743371,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I am chronically anemic,I sometimes reduce meat due to health issues,negative,2025-12-09T17:27:56.982Z,5,0,0.1145272256073393,0.653856660570581,0.1048378566295172,0.653856660570581
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,242bdf6bc5bb0b94,1,I eat meat at least once daily,I believe too much meat can harm health,negative,2025-12-09T17:28:09.649Z,16,4,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,I choose chicken and turkey for health,positive,2025-12-09T17:27:38.648Z,3,3,0.6285822362802549,0.5971641260367837,0.6285822362802549,0.5971641260367837
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,I eat lean beef to reduce fat,positive,2025-12-09T17:27:40.534Z,-1,0,0.1283846037281985,0.431799859161958,,0.431799859161958
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,I eat meat every day,positive,2025-12-09T17:27:43.926Z,0,16,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,Social contacts like the taste of meat,I like the taste of meat,positive,2025-12-09T17:27:46.556Z,1,12,0.0934423318478744,1.0,0.0485955674263372,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,I like the taste of meat,Those around me eat meat regularly,positive,2025-12-09T17:27:48.388Z,12,-1,1.0,0.1747156305394131,1.0,
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,I choose chicken and turkey for health,negative,2025-12-09T17:28:05.342Z,3,3,0.6285822362802549,0.5971641260367837,0.6285822362802549,0.5971641260367837
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,I eat lean beef to reduce fat,negative,2025-12-09T17:28:07.300Z,-1,0,0.1283846037281985,0.431799859161958,,0.431799859161958
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,I eat meat every day,negative,2025-12-09T17:28:09.648Z,0,16,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,Social contacts like the taste of meat,I like the taste of meat,negative,2025-12-09T17:28:11.864Z,1,12,0.0934423318478744,1.0,0.0485955674263372,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,c0ac91fae56c6ec3,1,I like the taste of meat,Those around me eat meat regularly,negative,2025-12-09T17:28:13.118Z,12,-1,1.0,0.1747156305394131,1.0,
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I eat meat whenever I choose to,"I am fond of chicken, turkey, and fish",positive,2025-12-09T17:10:25.009Z,2,3,0.2622947477916295,1.0,0.04093112117556,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I eat meat whenever I choose to,I eat more chicken and fish now,positive,2025-12-09T17:10:27.011Z,2,3,0.2622947477916295,1.0,0.04093112117556,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I eat more chicken and fish now,"I am fond of chicken, turkey, and fish",positive,2025-12-09T17:10:28.557Z,3,3,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I want to improve cholesterol and blood work,I have tried to cut back on red meat,positive,2025-12-09T17:10:33.230Z,11,0,0.3032478424717912,1.0,0.3032478424717912,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I want to improve cholesterol and blood work,I am concerned about my health,positive,2025-12-09T17:10:36.056Z,11,11,0.3032478424717912,1.0,0.3032478424717912,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I am concerned about my health,I have tried to cut back on red meat,positive,2025-12-09T17:10:39.086Z,11,0,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I have tried to cut back on processed meat,I am concerned about my health,positive,2025-12-09T17:10:41.194Z,0,11,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I want to improve cholesterol and blood work,I have tried to cut back on processed meat,positive,2025-12-09T17:10:43.797Z,11,0,0.3032478424717912,1.0,0.3032478424717912,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I do not control grocery shopping or meal planning,I have tried to cut back on red meat,negative,2025-12-09T17:11:10.129Z,2,0,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I do not control grocery shopping or meal planning,I have tried to cut back on processed meat,negative,2025-12-09T17:11:17.479Z,2,0,1.0,1.0,1.0,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,8f96fa223f234180,1,I want to improve cholesterol and blood work,I do not control grocery shopping or meal planning,negative,2025-12-09T17:11:28.294Z,11,2,0.3032478424717912,1.0,0.3032478424717912,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,Eating meat is a habit for me,I have always eaten and cooked with meat,positive,2025-12-09T17:31:24.471Z,2,-1,0.1658746944025772,0.1127927936444606,0.0842540894250355,
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I have always eaten and cooked with meat,My parents cooked with meat,positive,2025-12-09T17:31:29.214Z,-1,1,0.1127927936444606,0.408433019770793,,0.408433019770793
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,Eating meat is a habit for me,My parents cooked with meat,positive,2025-12-09T17:31:31.010Z,2,1,0.1658746944025772,0.408433019770793,0.0842540894250355,0.408433019770793
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,Eating meat is a habit for me,Most friends and family eat meat,positive,2025-12-09T17:31:32.895Z,2,1,0.1658746944025772,0.2727415085252644,0.0842540894250355,0.2727415085252644
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I have always eaten and cooked with meat,Most friends and family eat meat,positive,2025-12-09T17:31:35.353Z,-1,1,0.1127927936444606,0.2727415085252644,,0.2727415085252644
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,My parents cooked with meat,Most friends and family eat meat,positive,2025-12-09T17:31:36.760Z,1,1,0.408433019770793,0.2727415085252644,0.408433019770793,0.2727415085252644
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I get bored with the same meals,I reduce meat when it is expensive,positive,2025-12-09T17:31:42.016Z,2,-1,0.3544797577200008,0.3350171672811365,0.3544797577200008,
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I get bored with the same meals,I enjoy the challenge of vegetarian cooking,positive,2025-12-09T17:31:43.370Z,2,2,0.3544797577200008,1.0,0.3544797577200008,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I reduce meat when it is expensive,I enjoy the challenge of vegetarian cooking,positive,2025-12-09T17:31:44.679Z,-1,2,0.3350171672811365,1.0,,1.0
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,Eating meat feels natural to me,I have always eaten and cooked with meat,positive,2025-12-09T17:31:49.305Z,2,-1,0.1134029166281228,0.1127927936444606,0.0912112018731498,
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,Eating meat feels natural to me,Eating meat is a habit for me,positive,2025-12-09T17:31:50.631Z,2,2,0.1134029166281228,0.1658746944025772,0.0912112018731498,0.0842540894250355
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I eat meat 1-2 times a day,Eating meat is a habit for me,positive,2025-12-09T17:31:56.849Z,16,2,1.0,0.1658746944025772,1.0,0.0842540894250355
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I eat meat 1-2 times a day,My parents cooked with meat,positive,2025-12-09T17:31:58.628Z,16,1,1.0,0.408433019770793,1.0,0.408433019770793
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I eat meat 1-2 times a day,I have always eaten and cooked with meat,positive,2025-12-09T17:32:01.176Z,16,-1,1.0,0.1127927936444606,1.0,
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I eat meat 1-2 times a day,Eating meat feels natural to me,positive,2025-12-09T17:32:02.734Z,16,2,1.0,0.1134029166281228,1.0,0.0912112018731498
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I reduce meat when it is expensive,Eating meat feels natural to me,negative,2025-12-09T17:32:19.797Z,-1,2,0.3350171672811365,0.1134029166281228,,0.0912112018731498
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,24e9f4a8dba444ba,1,I reduce meat when it is expensive,I have always eaten and cooked with meat,negative,2025-12-09T17:32:22.335Z,-1,-1,0.3350171672811365,0.1127927936444606,,
