label,key,wave,stance_1,stance_2,polarity,timestamp,topic_1,topic_2,topic_conf_1,topic_conf_2,assigned_prob_1,assigned_prob_2
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,My parents served meat with dinner,I eat meat at least once a day,positive,2025-12-09T17:17:40.777Z,0,11,0.2775416517606263,1.0,0.2775416517606263,1.0
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,I grew up eating meat at meals,I eat meat at least once a day,positive,2025-12-09T17:17:44.327Z,17,11,1.0,1.0,1.0,1.0
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,My family eats meat as main portion,My parents served meat with dinner,positive,2025-12-09T17:17:53.627Z,0,0,1.0,0.2775416517606263,1.0,0.2775416517606263
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My family eats meat as main portion,positive,2025-12-09T17:17:59.515Z,17,0,1.0,1.0,1.0,1.0
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,I eat meat at least once a day,My religious beliefs justify eating animals,positive,2025-12-09T17:18:12.895Z,11,8,1.0,1.0,1.0,1.0
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My parents served meat with dinner,positive,2025-12-09T17:18:20.141Z,0,0,0.0379824381577562,0.2775416517606263,0.0379824381577562,0.2775416517606263
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,I grew up eating meat at meals,Meat-eating is a family tradition,positive,2025-12-09T17:18:24.717Z,17,0,1.0,0.0379824381577562,1.0,0.0379824381577562
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,Meat-eating is a family tradition,positive,2025-12-09T17:18:31.067Z,8,0,1.0,0.0379824381577562,1.0,0.0379824381577562
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,My parents served meat with dinner,positive,2025-12-09T17:19:03.537Z,8,0,1.0,0.2775416517606263,1.0,0.2775416517606263
05__all-MiniLM-L6-v2__run_20260207_195532_884d6d4a,3d1ddc23b606b8c8,1,I eat meat at least once a day,My family eats meat as main portion,positive,2025-12-09T17:19:10.725Z,11,0,1.0,1.0,1.0,1.0
