Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,446,OUTLIER,I eat meat for iron,I cook meat at home,I feel guilty about eating animals,I am chronically anemic,I prefer beef for hamburgers and sloppy joes
0,240,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken eat, chicken turkey, eat fish, eat chicken fish",I mostly eat chicken,I primarily eat chicken or turkey,"I regularly eat chicken, fish, and turkey",My household mainly eats chicken and turkey,I used to eat a lot of seafood
1,217,"consumption, red meat, red, limit, meat consumption, cut, meat, try, reduce, reducing",I eat red meat less frequently,I seek to reduce meat consumption,I try to cut down on red meat,I reduced pork consumption significantly,I wish more people would stop eating red meat
2,206,"family, friends, family eats, meat family, eats, family eats meat, eats meat, friends eat, friends eat meat, family friends",Family and friends eat meat regularly,Most family members eat meat,My family values red meat as prosperity,My family enjoys the taste of meat,My family stopped preparing meat at home
3,180,"avoid, avoid eating, pork, meat avoid, processed, avoid pork, eating, pork avoid, meats avoid, beef",I avoid too much processed meat,Family members avoid pork,I avoid fatty and fried meats,I avoid processed meat,Some family do not eat pork
4,178,"vegetarian, vegan, plantbased, vegetables, meals, vegetarian meals, plantbased meals, balance, balance meat, vegetarians",I have never known vegetarians personally,I was curious about being vegetarian,I was vegan or vegetarian for years,I am vegetarian,I became vegetarian
5,117,"expensive, meat expensive, prices, cost, choices, meat prices, price, influences, meat, meat choices",Meat is expensive at every meal,Meat is getting more expensive,The cost of beef is high,I am aware meat costs can be high,Prices of beef have gone up
6,105,"health, cholesterol, concerned health, concerned, concerns, health concerns, health concerned, heart, cholesterol concerned, concerned health concerned",I have health concerns,Family has type 2 diabetes,I am concerned about my health,My family has health challenges,My husband has health concerns
7,99,"regularly eat, eat meat regularly, regularly, meat regularly eat, meat regularly, eat, regularly eat meat, eat meat, meat eat, occasionally",I eat meat regularly,I eat common meat regularly,I keep kosher and eat kosher meat,I eat meat often,I regularly eat meat
8,96,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I want to get enough protein,I want to meet protein needs,I want to hit protein goals,I want enough protein,I want to get more protein
9,88,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, environmental impact concerned, impact concerned, environment concerned",I want to reduce environmental impact,I am concerned about environmental impact,I am concerned about the environment,I hear about environmental impact in the news,My wife is environmentally conscious
10,82,"diet, balanced, moderation, balanced diet, want, meat moderation, foods, variety, eat healthier, mindful",I try to eat healthier,I aim for dietary balance,I try to keep a balanced diet,I focus on healthy food choices,I aim for a healthier diet
11,77,"animal, concerned animal, animal welfare, welfare, concerned animal welfare, animal welfare concerned, welfare concerned, welfare concerned animal, concerned, suffering",I am concerned about harming animals,I am concerned about animal welfare,I worry about animal welfare,I am concerned about animal pain,I watch animal welfare documentaries
12,76,"meat meals, meals eat meat, meat meal, meals eat, eat meat meals, meat meals eat, meals, meal, eat meat meal, eat meat",Most dinners I cook include meat,I include meat in most meals,I eat meat at most meals,I eat meat with most meals,I eat meat most meals
