Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,639,OUTLIER,I love the taste of meat,Doctor recommended I eat lean beef,I eat lean beef to reduce fat,Those around me eat meat regularly,Social contacts like the taste of meat
0,307,"want, plantbased, vegetables, healthy, diet, healthier, meals, food, foods, weight",I am very conscious about my diet,I want lighter or more vegetable meals sometimes,I want a more balanced diet,I care for my mother's diet,I eat more vegetables now
1,211,"chicken, eat chicken, fish, turkey, chicken fish, eat, chicken turkey, beef, prefer, eat chicken fish",I mostly eat chicken,I mostly eat ground chicken or turkey,My household primarily eats chicken,I mainly eat chicken or fish,I prefer chicken and pork
2,203,"easy, good, meat easy, believe, meat, meat tastes, tastes, meat feels, meat good, convenient",Meat tastes great with meals,Cooking at home improves my health,I find lean meats easiest for protein,Meat tastes better to me,Meat leaves me feeling satiated
3,112,"vegetarian, vegan, vegetarian meals, meals, years, vegetarians, friends, vegan vegetarian, vegetarian vegetarian, vegetarian vegan",I often choose vegetarian options,Many social contacts are vegetarian,I know vegetarians or vegans,I am a philosophical Buddhist,I save vegan recipes
4,110,"protein, meat protein, eat meat protein, protein meat, meat, meat provides, provides, balance meat, eat meat, balance",I try to eat enough meat,I feel meat is essential to my meals,I think balance with meat is important,I try to get enough protein from meat,Meat gives us protein
5,107,"family, tradition, family tradition, eating meat family, eating meat, meat family tradition, cultural, meat family, eating, meateating",Eating meat is family tradition,Eating meat is a family tradition,Meat is a staple in my culture,Meat is prevalent in my cultural cuisine,Meat is central in my family culture
6,101,"week, times, week eat, meat times, times week, weekly, eat meat times, times week eat, week eat meat, weekly eat",I eat meat a few times a week,I plan weekly menus with limited meat,I eat beef about twice a week,I eat meat several times a week,I eat meat a few times weekly
7,100,"health, concerned health, health concerns, concerned, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,I have general health concerns,I am motivated by health advice,I am concerned about my health,I am concerned about health impacts
8,92,"meat available, crave, meat, available, crave meat, meat crave, cut, eat meat, eat meat available, meat filling",I have a deep desire for meat,Meat fills me up and energizes me,Meat fuels my body,Meat is filling,Meat is filling for me
9,77,"avoid, avoid eating, meats avoid, processed, avoid processed, pork avoid, meats, pork, processed meats avoid, meats avoid eating",I avoid eating too much of one meat type,I avoid processed meat,I avoid fatty meats,I avoid stories about animal welfare in meat,I avoid uncommon meats like rabbit
10,73,"red meat, red, limit red meat, limit red, red meat consumption, cut red meat, cut red, limit, consumption, cut",Red meat is traditional in my culture,Social contacts eat red meat frequently,My family values red meat as prosperity,My family finds red meat convenient,My wife prefers red meat
11,66,"unhealthy, meat unhealthy, feel, red meat, red, eating, red meat unhealthy, feel unwell, unwell, believe",I believe pork is unclean,I see eating meat as a necessary evil,I think eating a lot of meat is unhealthy,I think processed meats are more harmful,Red meat is unhealthy
12,63,"family, meat family, enjoys, enjoys eating meat, enjoys eating, loves, eating, eating meat, likes, family enjoys",My husband loves steak and pork,People around me prefer meat with every meal,My family loves to eat meat,My family likes to eat meat,My friends and family like eating meat
13,57,"protein, need, want, need protein, protein diet, high protein, protein want, high, want protein, protein need",I believe animal protein is necessary,I want protein,I need protein in my diet,I want to hit protein goals,I want protein for energy and focus
14,56,"reduced meat, reduced, eat, eat meat, meat, meat reduced meat, meat eat, eating, meat reduced, eat meat eat",I eat less meat than before,Friends and family eat less meat,I eat less beef than before,I eat less beef than I used to,My partner eats less meat now
15,52,"better, portions, limit meat eat, meals, feel better, healthier, feel, meat eat, meatless, eat smaller",I eat smaller portions of meat,I occasionally eat meals without meat,I limit how much meat I eat,Some meals do not need meat,I eat smaller meat portions
16,52,"environmental, concerns, impact, concerned, environmental impact, concerned meat, health, environmental impact meat, impact meat, meat health concerns",I am concerned about meat fat content,I am concerned about meat prices,I am concerned about meat cost,I have acid reflux from some meats,I told people about fake meat products
17,51,"concerned animal, concerned animal welfare, animal, animal welfare, welfare, animal welfare concerned, welfare concerned, welfare concerned animal, concerned, animal rights",I am concerned about animal welfare,Concern for animal welfare,I am concerned about animal rights,My family is concerned about animal welfare,I consider animal welfare ethical dilemmas
18,50,"expensive, meat expensive, expensive meat, prices, meat expensive meat, meat prices, expensive meat expensive, high, red meat expensive, high meat",Red meat is expensive,Ethically-sourced meat is often too expensive,Red meat was expensive growing up,Local meat is too expensive for me,Vegan food is too expensive for me
19,50,"meat health, reasons, health, health reasons, considered eating, considered eating meat, considered, reduce, meat health reasons, reduce meat",I am trying to eat less meat,I want to eat less meat for health,My wife suggests eating less meat,I wish I could be vegetarian,I reduce beef and pork for health reasons
20,50,"animal, animals, welfare, animal welfare, care animal, care, care animal welfare, cattle, motivated animal welfare, motivated animal",I prioritize animal welfare,I value animal welfare,My spirituality allows use of animal bodies,My family values animal welfare,I want animals to have decent lives
21,47,"enjoy taste meat, enjoy taste, meat enjoy taste, taste meat enjoy, taste meat, meat enjoy, taste, enjoy, meat, taste meat people",I enjoy the taste of meat,People around me like the taste of meat,Housemates enjoy the taste of meat,People I know enjoy the taste of meat,I enjoy the fat and gristle in meat
