key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,7,0.3739665664724539,0.3739665664724539
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,15,1.0,1.0
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,4,1.0,1.0
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,4,1.0,1.0
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,4,0.09120863851650249,0.09120863851650249
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,1,0.12914370779339218,0.12914370779339218
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,1,0.11433210521876408,0.11433210521876408
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,7,0.34129707617473226,0.34129707617473226
242bdf6bc5bb0b94,1,I like the taste of meat,True,13,1.0,1.0
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,-1,0.0645551655002321,
242bdf6bc5bb0b94,1,I was raised on a farm,True,15,1.0,1.0
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,4,0.09470613455345339,0.09470613455345339
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,0,0.18608300890263882,0.18608300890263882
242bdf6bc5bb0b94,1,I am chronically anemic,True,12,0.40176636406734845,0.40176636406734845
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,4,0.1781186344053487,0.1781186344053487
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,1,1.0,1.0
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,3,1.0,1.0
c0ac91fae56c6ec3,1,I eat meat every day,True,-1,0.006005339036177336,
c0ac91fae56c6ec3,1,I like the taste of meat,True,13,1.0,1.0
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,0,0.7905272915485904,0.7905272915485904
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,0,0.6366842980618707,0.6366842980618707
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,7,1.0,1.0
c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,True,0,0.5449480714831316,0.5449480714831316
c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,True,1,1.0,1.0
c0ac91fae56c6ec3,1,Those around me eat meat regularly,True,2,0.4389986809436938,0.4389986809436938
c0ac91fae56c6ec3,1,Social contacts like the taste of meat,True,2,0.418322542036327,0.418322542036327
8f96fa223f234180,1,I eat meat whenever I choose to,True,0,1.0,1.0
8f96fa223f234180,1,I eat more chicken and fish now,True,0,1.0,1.0
8f96fa223f234180,1,I have tried to cut back on red meat,True,1,0.8337533388999819,0.8337533388999819
