Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,668,OUTLIER,Eating meat is a habit,Eating meat is mostly out of habit,Eating meat is a habit for me,I was raised on a farm,Doctor recommended I eat lean beef
0,254,"meat, easy, good, meat easy, believe, prefer, meat tastes, tastes, meat feels, protein",Meat tastes great with meals,I believe lean meats are healthier,Meat tastes better to me,I believe meat is healthy,I enjoy the protein in meat
1,201,"chicken, eat chicken, fish, turkey, chicken fish, eat, chicken turkey, chicken eat, prefer, eat chicken fish",I mostly eat chicken,I enjoy taste of chicken,I substitute red meat with chicken or turkey,My significant other mostly eats chicken,"I eat chicken, beef, and pork"
2,125,"avoid, avoid eating, pork, processed, meats avoid, meat avoid, avoid processed, eating, meats, pork avoid",I have no moral issues eating meat,No one considers eating less meat,I avoid meat when I don't crave it,I avoid stories about animal welfare in meat,I avoid factory-farmed meat
3,117,"times, week, week eat, weekly, meat times, eat meat times, weekly eat, times week, times week eat, times weekly",I eat meat at least once a day,I eat meat at least once daily,I eat pork a couple times a month,I eat red meat once a week,I rotate meat dinners each week
4,109,"family, meat family, tradition, eating meat family, family tradition, cultural, meat family tradition, family eats, eating meat, meat",Eating meat is a cultural habit in my family,Family traditions involve eating meat,Eating meat is a habit for my family,Meat is part of my family's culture,Eating meat is part of my upbringing
5,109,"vegetarian, vegan, vegetarian meals, years, vegetarians, friends, meals, vegetarian vegetarian, vegan vegetarian, vegetarian vegan",My family is vegetarian,I know vegetarians or vegans,Vegetarian and vegan friends prompt reflection,I have thought about veganism or vegetarianism,I am more open to occasional vegetarian meals
6,101,"health, concerned health, health concerns, concerned, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,I am concerned about my health,I have heart disease in my family,I am concerned about health,I am concerned about cancer
7,88,"food, habits, eating habits, meals, similar, cost, vegetables, family, eats cook, consider cost",I value creativity in plant-based meals,I like variety in my diet,I value filling foods,I enjoy familiar comforting foods,I enjoy vegetable-based meals
8,86,"eat meat, meat meals, eat meat meals, people, eat, people know, people know eat, know eat, know, know eat meat",I was raised eating meat with most meals,I eat meat in most meals,I include meat in most meals,I eat meat in almost every meal,I eat meat with most meals
9,82,"protein, meat protein, eat meat protein, protein meat, meat provides, provides, protein eat meat, protein eat, eat meat, meat",I eat meat for protein and iron,I buy tofu as meat substitute,I eat meat for protein,I choose meat as my protein source,I eat meat for nutrients
