Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,778,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I like the taste of meat,I was raised on a farm,Doctor recommended I eat lean beef
0,775,"meat, eat, meals, eat meat, beef, avoid, meats, meal, meat meals, health",Eating meat is easy and convenient for me,I sometimes enjoy meals without meat,I sometimes prefer dishes without meat,I am concerned about meat prices,Meat is easy to cook
1,322,"family, meat, meat family, friends, eats, family eats, eats meat, family eats meat, friends eat, eating",My family stopped eating meat,Most of my family eat meat,My family regularly eats meat,My family enjoys eating meat,My family members eat meat frequently
2,254,"want, health, weight, concerned, cholesterol, motivated, concerned health, concerns, health concerns, diet",I want to regulate my weight,I want to stay healthy,I find it hard to change my diet,I am open to a balanced diet,I want to eat healthier meals
3,227,"meat, feel, reducing, eating, reducing meat, consumption, eat, meat consumption, eating meat, eat meat",I sometimes reduce meat due to health issues,I considered reducing meat after health issues,I have reduced eating meat to every other day,I eat less beef and steak now,I am eating less meat
4,225,"chicken, fish, eat chicken, eat, turkey, chicken fish, eat fish, chicken turkey, beef, eat chicken fish",I choose chicken and turkey for health,I mostly eat ground chicken or turkey,My household mainly eats chicken and turkey,I eat only chicken and turkey,We raise our own chickens
5,197,"red, red meat, meat, eat red meat, eat red, eating red, cut, eating red meat, avoid, avoid red meat",I eat red meat once a week,I eat less red meat,People avoid red meat for health reasons,I believe red meat is hard to digest,Working in restaurants discouraged red meat eating
6,186,"protein, want protein, want, meat protein, protein meat, source, protein want, high protein, high, meat",I see meat as a good protein source,I enjoy the protein in meat,I want protein for energy and focus,Meat provides essential amino acids,Meat is a good source of protein
7,147,"eat meat, eat, day, day eat, day eat meat, meat day, eat meat day, times, meat day eat, meat",I sometimes avoid meat for days,I eat meat a few times a week,I eat meat two to three times daily,I eat meat at least once a day,I eat white meat twice a week
8,135,"vegetarian, vegan, vegetarian meals, meals, vegetarians, options, friends, vegetarian options, pescatarian, years",Eating vegetarian is cheaper for me,I occasionally eat vegan and meatless options,I prepare vegan meals for social occasions,I am happy with vegetarian meals,I lack confidence cooking vegetarian meals
9,128,"animal, animal welfare, welfare, concerned animal, animals, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, welfare concerned animal",I am concerned about animal rights,I am concerned about animal pain,I watch animal welfare documentaries,I feel guilty about animal suffering,I want animals to have decent lives
10,84,"contacts, social contacts, social, meat social, meat social contacts, contacts eat, contacts eat meat, social contacts eat, meat, friends",Social contacts are concerned about heart disease,Social contacts enjoy the taste of meat,Friends avoid chemical additives in food,Social contacts follow the same meat habits,My social contacts do not limit meat at all
