Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,567,OUTLIER,I like the taste of meat,I am chronically anemic,I believe too much meat can harm health,I want to improve cholesterol and blood work,I eat a lot of chicken
0,208,"family, family eats, meat family, eats, family eats meat, eats meat, meat family eats, meat, community, meat regularly family",My family eats meat regularly,My family regularly eats meat,My family eats meat daily,My family eats meat every day,My parents rarely eat meat
1,198,"red, red meat, eat red, eat red meat, eating red, meat, cut, eating red meat, avoid red, avoid red meat",I eat red meat once a week,I eat red meat about once a week,I crave red meat occasionally,I eat red meat a few times yearly,I have health concerns about red meat
2,186,"protein, want protein, want, protein meat, protein want, source, meat protein, high protein, high, need",I see meat as a good protein source,I want to get enough protein,I eat meat for protein,Meat is a good protein source,Meat is a good source of protein
3,142,"chicken, turkey, eat chicken, chicken turkey, ground, fish, prefer, eat chicken turkey, beef, chicken eat",I mostly eat chicken,I buy fried chicken from stores,Chicken is easier for social situations,I primarily eat chicken,My household primarily eats chicken
4,135,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, vegetarian options, pescatarian, years, vegetarianism",I sometimes have vegetarian meals,I prepare vegan meals for social occasions,I am vegetarian,I was vegan or vegetarian for years,I wish I could be vegetarian
5,103,"reducing, reducing meat, consumption, reduce meat, considered, reduce, meat consumption, reduced, considered reducing, considered reducing meat",Vegetarian coworker encourages meat reduction,I have reduced how much meat I eat,I have reduced meat per meal,I have not considered reducing meat,People I know reduce meat for health reasons
6,95,"expensive, prices, meat prices, meat expensive, cost, choices, price, meat choices, expensive meat, influences",Meat is expensive at every meal,Meat is expensive,Meat is cheap,Meat is getting more expensive,I care about the price of meat
7,87,"animals, animal, eating animals, welfare, animal welfare, care, animal rights, rights, care animal, concerned animal",I am concerned about animal rights,I care about animal welfare,I dislike how animals are treated,I am concerned about animal cruelty,I am concerned about harming animals
8,83,"contacts, social contacts, social, meat social contacts, meat social, contacts eat, social contacts eat, contacts eat meat, friends, avoid meat",Social contacts like the taste of meat,Most social contacts eat meat,Some social contacts focus on taste,Social contacts grew up eating meat,Most social contacts eat all types of meat
9,78,"times, eat meat times, meat times, week eat meat, week, weekly eat, weekly eat meat, days, week eat, eat meat",I eat meat at least once a day,I eat meat three to four times weekly,I eat meat four times a week,I eat meat at least twice a day,I eat meat once or twice daily
10,68,"weight, want, diet, lose, lose weight, weight want, balanced, want lose, balanced diet, diet want",I try to have some balance,It is hard to have a different diet,I plan elimination and reintegration diets,I want to avoid weight gain,I want to regulate my weight
11,63,"fish, eat fish, eat chicken fish, chicken fish, fish eat, eat chicken, chicken, eat, fish eat fish, chicken fish eat",I rarely eat chicken or fish,I still eat fish and sometimes chicken,Limited fish options available,I eat chicken and fish,I occasionally eat shrimp
12,58,"meat regularly eat, regularly eat, eat meat regularly, regularly eat meat, meat regularly, regularly, meat eat meat, eat meat, meat eat, eat",I eat meat regularly,I eat meat often,I keep kosher and eat kosher meat,I eat common meat regularly,I regularly eat meat
13,57,"grew, grew eating, raised, grew eating meat, raised eating, meat grew, raised eating meat, eating meat, eating, meat grew eating",I grew up eating meat,I grew up eating fresh farm meat,I grew up being told to eat meat,I grew up eating meat-centered meals,I grew up eating meat regularly
14,56,"people, meat people, know, people eat, people eat meat, people know, people know eat, know eat, know eat meat, eat meat people",People I live with eat meat,Everyone around me eats meat regularly,People around me eat meat,People around me eat meat regularly,People around me like the taste of meat
15,54,"habit, meat habit, meat feels, feels, eating meat habit, eating meat, eating meat feels, habit eating, habit eating meat, eating",Eating meat prevents animal food waste,Eating meat is a habit,Eating meat is a habit for me,Eating meat helps me avoid snacking,I eat meat out of habit
16,53,"beef, eat beef, beef eat, lean, beef eat beef, venison, eat lean, week eat beef, eat, avoid beef",I try to avoid beef,I eat beef regularly,I always have a freezer full of beef,I avoid beef,I eat beef given by others
17,50,"eat meat meals, meat meal eat, meal eat, meal eat meat, meat meals eat, meat meal, meals eat, eat meat meal, meals eat meat, meat meals",I eat meat with most meals,I eat meat at every meal,I eat meat for most meals,I eat meat at most meals,I eat meat most meals
18,50,"enjoy eating meat, enjoy eating, meat enjoy eating, enjoy, eating meat enjoy, meat enjoy, eating meat, flavor, eating, flavor meat enjoy",I enjoy eating meat,I enjoy eating meat regularly,I enjoy the fat and gristle in meat,I enjoy hunting and eating wild meat,I enjoy meat at family gatherings
19,43,"avoid fatty, avoid, fatty, greasy, meat home, home, meat consumption, consumption, avoid fatty meat, think meat consumption",I do not eat meat often,I have no interest in eating meat,I do not eat meat at home,I struggle with contradictions of eating meat,I do not eat meat
20,43,"vegetables, eat vegetables, vegetable, vegetables enjoy, beans, salads, vegetable dishes, fruits vegetables, fruits, vegetables eat",One friend eats more fruits and vegetables,I have easy access to fresh vegetables,I want lighter or more vegetable meals sometimes,I think vegetables are more delicious,I am trying to eat more vegetables
21,43,"environment, concerned environment, environment concerned, environment concerned environment, care, care environment, concerned, environmental, care environment concerned, concerned environment concerned",Sister-in-law wants to help the environment,I experience environmental concerns,I am concerned about the environment,My sons are concerned about environment,Environmental concerns make me sad
22,41,"enjoy taste meat, meat enjoy taste, enjoy taste, taste meat enjoy, meat enjoy, taste meat, taste, enjoy, meat, know enjoy taste",I enjoy the taste of meat,People I know enjoy the taste of meat,,,
23,41,"pork, avoid pork, pork avoid, avoid, eat pork, pork avoid eating, avoid eating, pork avoid pork, beef pork, eating pork",I avoid pork,My wife dislikes pork,I avoid pork because it feels heavy,I avoid steak and pork,My mother avoids pork for health reasons
24,40,"concerned animal welfare, welfare, animal welfare, concerned animal, welfare concerned animal, animal welfare concerned, welfare concerned, animal, concerned, farms concerned animal",I am concerned about animal welfare,I worry about animal welfare,My family is concerned about animal welfare,I am aware of animal welfare concerns,I have concerns about animal welfare
25,40,"motivated, motivated health, limitations, financial limitations, financial, motivated health concerns, health, health concerns motivated, concerns motivated, health concerns",I am motivated by health concerns,I am motivated by cost considerations,My family is motivated by health and age,I have health motivations,I want to save money
