Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,593,OUTLIER,I was raised eating meat,I was raised on a farm,I am chronically anemic,I eat lean beef to reduce fat,I have tried to cut back on red meat
0,167,"red, red meat, eat red meat, eat red, eating red, eating red meat, meat, avoid red, avoid red meat, limit red meat",Red meat is traditional in my culture,I avoid eating red meats,I have health concerns about red meat,Family has concerns about red meat health effects,Working in restaurants discouraged red meat eating
1,152,"family, family eats, eats, family eats meat, meat family, eats meat, meat family eats, eating meat family, meat, eats meat regularly",I eat wild game from family,My family eats meat regularly,My family eats meat like I do,My family eats meat every day,My family all eat meat
2,131,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, vegetarian options, years, vegan vegetarian, vegetarian vegetarian",I tried being vegetarian,My sibling is vegan,My dad and stepmom are vegetarians,I am happy with vegetarian meals,My sister is a vegetarian
3,124,"protein, meat protein, protein meat, iron, source, eat meat protein, provides, meat provides, protein source, protein eat",I see meat as a good protein source,I prefer protein from whole foods,Getting protein from meat is easy,Meat is high in protein,Meat is a good source of protein
4,101,"reducing, consumption, reducing meat, meat consumption, limit meat, considered, limit, try limit, try, considered reducing",I seek to reduce meat consumption,I try to reduce meat consumption,I want to lower my meat intake,I have not considered reducing meat,I am reducing meat consumption
5,87,"eat meat meals, meals, meat meals, meal, eat meat meal, meat meals eat, meals eat, meat meal, eat meat, meals eat meat",I eat more meat at gatherings,I occasionally eat meat for lunch,I eat meat at every meal,I eat meat with every meal,I eat meat at most meals
6,87,"protein, want protein, protein want, want, protein want protein, want protein want, need, protein diet, need protein, high protein",I want to get enough protein,I want enough protein and nutrients,I want a high protein diet,I want high-quality protein,I need high protein intake
7,86,"expensive, prices, meat prices, meat expensive, cost, choices, price, meat choices, expensive meat, affordable",Meat is expensive,Local meat is too expensive for me,I am aware meat costs can be high,Meat is cheap,I care about the price of meat
8,83,"times, eat meat times, meat times, week, week eat, week eat meat, weekly eat, weekly, weekly eat meat, times week",I eat meat four or five times weekly,I eat meat a few times a week,I eat meat two to three times weekly,I eat meat three to four times weekly,I eat meat three or four times a week
9,81,"contacts, social contacts, social, meat social contacts, meat social, contacts eat, contacts eat meat, social contacts eat, friends, avoid meat",Social contacts prefer eating meat,Social contacts eat meat out of habit,Social contacts grew up eating meat,Social contacts avoid beef for animal welfare,Most social contacts eat all types of meat
10,78,"turkey, chicken, chicken turkey, ground, fish, eat chicken, eat chicken turkey, turkey eat, ground turkey, chicken fish",I eat chicken and turkey,I primarily eat chicken or turkey,I eat more chicken than beef,My wife prefers fish and chicken,I mostly eat chicken or turkey
11,74,"taste, taste meat, like taste meat, like taste, love taste, love taste meat, love, like, meat like taste, taste meat like",I like the taste of meat,I love the taste of meat,I prefer the taste of meat,I like how meat tastes,I love the taste of bacon
12,72,"believe, health, believe meat, think, meat believe, meat healthy, health concerns, concerns, health believe, unhealthy",I am concerned about health problems from meat,I am concerned about meat healthiness,I am concerned about soy and estrogen,I have health concerns about beef and pork,Health concerns influence my meat intake
13,72,"meat regularly eat, regularly eat, eat meat regularly, meat regularly, regularly, regularly eat meat, eat meat, meat eat meat, eat, meat eat",I eat various meats regularly,I eat meat regularly,I eat meat often,I regularly eat meat,I keep kosher and eat kosher meat
14,69,"concerned health, health, concerned, health concerns, concerned health concerned, health concerned, concerns, diabetes, heart, health concerned health",I am concerned about health,I am concerned about kidney health,I am concerned about my health,I am concerned about health effects,I am concerned about stroke
15,65,"animals, animal, eating animals, care, care animal, cruelty, animal rights, rights, animal cruelty, suffering",I am an animal lover,I have empathy for animals,I don't like eating animals,I notice animals and question eating them,I dislike how animals are treated
16,64,"fish, eat fish, eat chicken fish, chicken fish, fish eat, eat chicken, chicken, chicken fish eat, eat, fish eat fish",I rarely eat chicken or fish,"I eat mainly fish, shrimp, or chicken",I occasionally eat shrimp,I incorporate fish weekly,I can afford to buy fish
17,57,"chicken, eat chicken, chicken eat, lot chicken, eat lot chicken, chicken eat chicken, eat chicken regularly, eat lot, chicken regularly, eat chicken eat",I eat chicken daily,Chicken does not get stuck in my teeth,I prepare chicken with an air fryer,I prefer to eat chicken,I eat a lot of chicken
18,56,"enjoy taste meat, enjoy taste, taste meat enjoy, meat enjoy taste, meat enjoy, taste meat, enjoy, taste, enjoy flavor, flavor",I enjoy the taste of meat,I enjoy the flavor of meat,I enjoy pleasant meat aromas during cooking,People I know enjoy the taste of meat,I find meat delicious
19,53,"vegetables, balance, eat vegetables, balance meat, beans, vegetable, new, vegetable dishes, fruits, fruits vegetables",I add more vegetables to meals,I am trying to eat more vegetables,I think vegetables are more delicious,I want lighter or more vegetable meals sometimes,I do not eat many fruits or vegetables
20,52,"people, meat people, know, people eat, people eat meat, eat meat people, people know, meat people eat, people know eat, know eat",People I live with eat meat,People around me increasingly avoid meat,People around me eat meat,People around me eat meat regularly,People around me eat a lot of meat
21,46,"enjoy eating, enjoy eating meat, meat enjoy eating, eating meat enjoy, enjoy, meat enjoy, eating meat, eating, meat, enjoy eating beef",I enjoy eating meat,I enjoy meat,I enjoy eating meat regularly,I enjoy hunting and eating wild meat,I enjoy the fat and gristle in meat
22,46,"habit, meat habit, habit eating meat, habit eating, eating meat habit, eating meat, meat feels, meat habit eating, eating meat feels, feels",Eating meat prevents animal food waste,Eating meat is a long-standing habit,Eating meat is a habit for me,Eating meat is mostly out of habit,I eat meat out of habit
23,44,"tradition, family tradition, meat family tradition, cultural, family, eating meat family, culture, traditions, meat cultural, meat family",Eating meat is family tradition,Meat is a staple in my culture,Family traditions involve eating meat,Meat is prevalent in my cultural cuisine,Meat is central in my family culture
24,44,"meat daily, eat meat daily, daily, meat daily eat, daily eat, daily eat meat, eat meat, day eat, meat day eat, eat meat day",I eat meat daily,I eat meat almost every day,I eat meat almost daily,I eat some kind of meat daily,I was told not to eat meat daily
25,42,"include, meals, include meat, include meat meals, meals meat, meat meals, usually, meals include, meals usually include, include meat meat",Meat tastes great with meals,Meat makes meals tastier,I always include meat in my meals,Meat has variety for different meals,I include meat in most meals
26,41,"cook, home, cook meat, husband, home cook, meat home, prepare, meat husband, boyfriend, son",My husband loves steak and pork,I prepare meat for my family most nights,I prepare meat for my husband and son,I cook meat by baking or grilling,I cook most meals at home
27,41,"environment, concerned environment, environment concerned, environment concerned environment, care, care environment, concerned, environmental, concerned environment concerned, care environment concerned",I am concerned about sustainability,I am cautious of the environment,I am environmentally conscious,Environmental concerns make me sad,I am concerned about the environment
28,40,"motivated, motivated health, financial limitations, limitations, motivated health concerns, financial, health concerns motivated, concerns motivated, health, money",I am motivated by health concerns,I am motivated by cost considerations,My family is motivated by health and age,I have health motivations,I want to save money
29,40,"pork, pork avoid, avoid pork, avoid, pork avoid eating, avoid eating, pork avoid pork, eat pork, eating pork, avoid eating pork",I believe pork is unclean,I avoid pork,I never eat pork,I avoid eating pork,I am not a fan of pork
30,38,"friends, friends family eat, friends family, family friends, family friends eat, family eat, family eat meat, family, friends eat, friends eat meat",My friends and family eat meat regularly,All my friends and family eat meat regularly,Friends and family eat meat,Friends and family eat less meat,Friends and family eat meat regularly
31,38,"concerned animal welfare, welfare concerned animal, animal welfare concerned, welfare concerned, animal welfare, welfare, concerned animal, animal, concerned, welfare family",I am concerned about animal welfare,I worry about animal welfare,My family is concerned about animal welfare,I am aware of animal welfare concerns,I have concerns about animal welfare
32,37,"cholesterol, concerned cholesterol, want reduce cholesterol, lower cholesterol, blood, reduce cholesterol, cholesterol want, want reduce, lower, high",I am concerned about cholesterol,I have high cholesterol,I have high blood pressure,I want to improve my digestion,My significant other has Crohn's
33,34,"grew, grew eating, grew eating meat, meat grew, meat grew eating, eating meat, eating, eating meat grew, growing grew, childhood",I grew up eating meat regularly,I grew up eating meat,Meat was in every meal growing up,I switched to eating meat as an adult,I grew up eating a lot of meat
34,34,"love, like, love eating meat, love eating, meat like, like eating, like eating meat, eating meat like, eating, meat like eat",I like exploring meatless dishes,I love to eat meat,I like eating different kinds of meat,I like to eat meat,Meat is my favorite food
35,33,"meat alternatives, alternatives, new meats, grassfed, new, trying new meats, trying new, grassfed meat, quality, organic",My religious beliefs influence meat choices,Alternative meat choices are not the norm,There are many tasty meat alternatives,I am open to trying new meats,I seek high quality meat
36,33,"diet, balanced, balanced diet, eat healthier, want balanced, healthier, diet want, balanced diet want, want balanced diet, want eat healthier",I am very conscious about my diet,I am more conscious about my diet,"I want a balanced, healthy diet",I want a balanced diet,I am mindful about nutrition now
37,32,"environmental, environmental impact, impact, concerned environmental, concerned environmental impact, environmental impact concerned, impact concerned, impact concerned environmental, concerned, environmental impact want",I am concerned about environmental impact,I understand environmental and social impacts,I am curious about environmental impact,I want to reduce environmental impact,I am concerned about environmental impacts
38,31,"friends, friends eat, meat friends, friends eat meat, meat friends eat, gatherings include meat, friends enjoy eating, social gatherings include, gatherings include, gatherings",Multiple friends eat less meat now,Friends regularly eat meat together,My friends eat similar meats,My friends eat meat regularly,My friends are mostly meat eaters
39,31,"want, healthy, healthier want, want healthier, healthier, want healthy, healthy want, want stay healthy, want healthier want, stay healthy",I want to stay healthy,I want to live longer,I want to be health conscious,I want a healthier future for myself,I want to be healthier
40,31,"plantbased, plantbased meals, plantbased foods, eat plantbased, foods, try plantbased, eat plantbased foods, include plantbased, meals, plant based",I believe plant-based is healthier,I find plant-based meals easy and light,I feel healthier after plant-based meals,I eat a purely plant-based diet,Social contacts prefer plant-based meals
41,30,"environmental, impact, environmental impact, environmental impact meat, impact meat, environmental concerns, consider environmental, aware, sustainability, concerns",Environmental concerns about beef production,I am concerned about sustainability of meat,Environmental concerns about eating meat,I am frustrated with food labeling,I am aware of environmental issues from meat
42,29,"crave, meat crave, crave meat, meat crave meat, eat meat crave, steak, crave steak, crave meat crave, cravings, craving",I eat meat when craving it,I sometimes crave steak or hamburger,I crave meat,I eat meat when I crave it,I generally don't eat meat
43,29,"weight, weight want, lose, lose weight, lose weight want, want lose, want, want lose weight, trying lose weight, trying lose",Doctor required me to watch fat intake,I want to avoid weight gain,I want to lose or maintain weight,I want to gain weight,I have gained weight during menopause
44,28,"prefer, choose, chicken, beef, choose leaner, prefer beef, meats like chicken, leaner, like chicken, meats like",I prefer chicken over beef,I alternate between chicken and beef,I find chicken easier to digest than beef,I prefer meat over other foods,I like bacon on cheeseburgers
45,28,"eat meat day, meat day, day, day eat meat, meat day eat, day eat, eat meat, night, meat night, eat meat night",I eat meat every day,I eat meat every night,I eat meat every evening,I eat meat every night for dinner,I eat meat most nights
46,27,"feel, meat feel, helps, meat helps, feel better, better, helps feel, meat helps feel, energized, meat makes feel",My son feels unwell without meat,Meat gets tiring when eaten too much,I feel unwell without eating meat,I feel fatigued without meat,Meat helps me feel full
47,26,"processed, avoid processed, meat substitutes, processed meats, substitutes, avoid, avoid processed meats, meats, highly processed, highly",I avoid processed meats,Meat substitutes do not taste like real meat,I avoid highly processed meats,I dislike meat substitutes,I use meat substitutes at home
48,26,"animal, animal welfare, welfare, animal treatment, lives, treatment, prefer animal, concerned animal lives, concerned animal, motivated animal",I prioritize animal welfare,I watch animal welfare documentaries,I prefer animal welfare perspectives,I am skeptical about animal treatment,I value animal welfare
49,25,"ethical, ethically, ethically sourced meat, sourced meat, sourced, ethically sourced, ethical concerns, ethics, farming, meat ethical",Limited access to ethical meat sources,I believe factory farming is cruel,I have ethical concerns about meat production,I prefer ethically sourced meat,I dislike unethical farming
