Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,458,OUTLIER,Most people I know eat meat,I eat meat at least once a day,I eat meat at least once daily,I eat lean beef to reduce fat,I eat meat whenever I choose to
0,234,"family, family eats, eats, meat family, family eats meat, eats meat, meat family eats, meat, parents, son",Meat fills my family up faster,My children eat more meat than I do,My family eats meat most nights,My family likes meat,My family prefers red meat for flavor
1,221,"social, contacts, social contacts, friends, people, people eat, community, people eat meat, friends eat, meat friends",People around me eat meat regularly,Social contacts enjoy the taste of meat,People I live with eat meat,People around me eat meat,Social contacts prefer eating meat
2,150,"cut, red meat, red, consumption, reducing, reduce, reduced, meat consumption, reducing meat, meat",I eat red meat less frequently,I try to reduce cholesterol by eating less meat,I have reduced eating meat to every other day,I try to reduce meat consumption,I reduce beef and pork for health reasons
3,115,"expensive, meat expensive, prices, meat prices, cost, alternatives, expensive meat, choices, price, limited",Red meat is expensive,Meat is expensive,Meat is cost prohibitive,Eating less meat is hard in this economy,Meat is expensive at every meal
4,91,"concerned health, concerned, health, concerned health concerned, health concerned, concerns, cholesterol, health concerns, heart, concerned cholesterol",I have health concerns,I am concerned about my health,I discuss health risks with my friend,I had colon cancer,My family has health challenges
5,84,"protein, want protein, protein want, want, protein want protein, want protein want, need, protein try, need protein, protein diet",I want to get enough protein,I want to meet protein needs,I want to consume a lot of protein,I want to hit protein goals,I have a hard time getting enough protein
6,81,"environmental, impact, environmental impact, concerned, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",I am concerned about environmental impact,I am cautious of the environment,I am curious about environmental impact,Environmental concerns make me sad,I am concerned about the environment
7,79,"wife, husband, partner, prefers, boyfriend, meat wife, eats, meat husband, red meat wife, wife eats",My husband avoids red meat,I cook meat for my husband,My wife makes veggie dishes sometimes,My wife has similar eating habits,Significant other rarely eats meat
8,75,"dislike, rarely, rarely eat, meat dislike, avoid meat, like, meat rarely, dislike taste, beef, dont",I do not want plant-based or lab-grown meat,I do not buy ground beef,I dislike meat substitutes,I hate the thought of eating meat,I dislike periods without eating meat
9,71,"vegetables, vegetarian meals, vegetarian, new, meals, trying, trying new, eat vegetables, new meats, eat vegetarian",I am trying to eat more vegetables,I enjoy vegetables and salads,I balance meals with vegetables and salad,I enjoy few vegetables,I plan to eat more vegetables
10,71,"times, week, meat times, week eat, eat meat times, weekly, week eat meat, weekly eat, times week, weekly eat meat",I rotate meat dinners each week,I eat meat three times a week,I eat meat a few times a week,I eat meat three to four times weekly,I eat meat three to four days weekly
11,71,"buy, grassfed, buy meat, sale, affordable, ethically, meat sale, grassfed meat, seek, cheap",I buy more meat when it is on sale,I eat meat for convenience,I buy meat when it is on sale,Convenience motivates me to eat meat,I try to buy organic meat
12,67,"enjoy eating, enjoy eating meat, enjoy, eating meat enjoy, meat enjoy eating, meat enjoy, eating meat, eating, eating meat like, meat like",I enjoy eating meat,I get satisfaction from eating meat,I enjoy eating sushi,I enjoy eating venison,I like eating meat
13,67,"health, unhealthy, concerns, health concerns, meat unhealthy, red meat, red, health concerns red, meat health concerns, concerns red",Uncertainty about what meat is good for you,I am concerned about health effects of meat,I am concerned about altered meat products,Health concerns influence my meat intake,I have health concerns about beef and pork
14,65,"concerned animal, animal, concerned animal welfare, animal welfare, welfare, welfare concerned, animal welfare concerned, welfare concerned animal, concerned, farming",I am concerned about animal welfare,I thought briefly about animal welfare,I am aware of animal welfare concerns,Concern for animal welfare,I have concerns about animal welfare
15,62,"crave, meat crave, crave meat, include meat, occasionally, meat occasionally, include, include meat meals, crave meat crave, meat crave meat",I crave meat,I crave chicken sometimes,I crave the taste of meat,I want to eat meat again,I have a deep desire for meat
16,59,"chicken, turkey, eat chicken, fish, eat chicken fish, chicken turkey, chicken fish, eat chicken turkey, turkey eat, ground","I eat chicken, beef, and turkey",I eat chicken and beef most often,I eat mostly ground beef and chicken,I eat ground turkey and chicken,"I eat chicken, turkey, and fish"
17,57,"meat easy, easy, convenient, meat convenient, easier, meals, meat easy cook, meat tastes, tastes, easy cook",Meat tastes great with meals,Meat is filling,Meat is the focal point of big meals,Meat filled with synthetic chemicals,Well-cooked meat increases enjoyment
18,55,"believe meat, believe, meat feels, eating meat feels, feels, natural, nutritious, normal, meat healthy, meat feels normal",I think we are meant to eat meat,I believe meat should be in every diet,I believe meat is nutritious,I believe eating meat is healthy,Meat is believed essential for fitness in my group
