Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,515,OUTLIER,Most people I know eat meat every meal,Most people I know eat meat regularly,Most people I know eat meat,Doctor recommended I eat lean beef,I eat lean beef to reduce fat
0,246,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken turkey, eat fish, chicken eat, eat chicken fish",I choose chicken and turkey for health,I eat fish sometimes,"I eat ground turkey, chicken, and catfish",My aunts eat more fish for health,I can afford to buy fish
1,209,"protein, want protein, want, meat protein, source, protein want, protein meat, iron, high protein, high",I want to consume enough protein,I prioritize getting more protein,I need more protein,I find lean meats easiest for protein,I want to get enough protein
2,168,"red, red meat, eat red meat, eat red, eating red, eating red meat, meat, avoid red, avoid red meat, limit red",I still consume red meat,I avoid red meat and eat white meat,I avoid eating red meat,I heard red meat increases aggression,I find cooking red meat disgusting
3,150,"family, family eats, eats, family eats meat, meat family, eats meat, meat family eats, eating meat family, meat, eats meat regularly",My parents served meat with dinner,I am encouraged by my sister,My family eats meat regularly,My family prefers steak,My wife's family raises cattle
4,135,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, pescatarian, vegetarian options, years, friends",I sometimes have vegetarian meals,I lack vegan recipes I like,My dad and stepmom are vegetarians,I am happy with vegetarian meals,My sister is a vegetarian
5,111,"meals, meal, eat meat meals, meat meal, meat meals, eat, eat meat meal, eat meat, incomplete, meat meals eat",I eat more meat at gatherings,I am considering portion control,I feel a meal is incomplete without meat,I am set in eating meat,Meatless meals occur when busy or saving time
6,94,"processed, health, processed meats, meats, avoid, avoid processed, health concerns, concerns, think, avoid processed meats",I avoid processed meats,I am concerned about altered meat products,Meat filled with synthetic chemicals,I have health concerns about beef and pork,I am concerned about meat fat content
7,88,"reducing, reducing meat, consumption, meat consumption, considered, reduce meat, reduce, reduced, considered reducing, considered reducing meat",I sometimes reduce meat due to health issues,I am open to reducing meat consumption,I have lost weight after reducing meat,People I know reduce meat for health reasons,I am reducing meat consumption
8,84,"times, eat meat times, meat times, week, week eat, week eat meat, weekly eat, weekly eat meat, weekly, eat meat",I eat meat four or five times weekly,I eat meat every three months,I eat meat a few times a week,I eat meat three or four times a week,I eat meat three times a week
