Topic,Count,Name,Representation,Representative_Docs
-1,718,-1_meat_taste meat_eating meat_taste,"['meat', 'taste meat', 'eating meat', 'taste', 'eating', 'enjoy', 'eat', 'eat meat', 'enjoy taste meat', 'enjoy taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
0,323,0_want_plantbased_vegetables_diet,"['want', 'plantbased', 'vegetables', 'diet', 'meals', 'healthy', 'healthier', 'food', 'foods', 'eat']","['I want to be healthier', 'I want to be healthier', 'I want to be healthier']"
1,307,1_red_red meat_meat_consumption,"['red', 'red meat', 'meat', 'consumption', 'avoid', 'limit', 'meat health', 'meat consumption', 'reasons', 'health']","['I eat less red meat', 'I eat less red meat', 'I eat less red meat now']"
2,234,2_meat_easy_good_believe,"['meat', 'easy', 'good', 'believe', 'meat easy', 'protein', 'meat tastes', 'meat feels', 'tastes', 'prefer']","['Meat tastes good', 'Eating meat feels normal to me', 'Eating meat feels normal to me']"
3,207,3_expensive_meat expensive_meat_dislike,"['expensive', 'meat expensive', 'meat', 'dislike', 'unhealthy', 'red meat', 'red', 'prices', 'meat prices', 'eating']","['Meat is expensive for me', 'Meat is too expensive', 'Meat is very expensive']"
4,192,4_chicken_eat chicken_fish_turkey,"['chicken', 'eat chicken', 'fish', 'turkey', 'chicken fish', 'eat', 'chicken turkey', 'prefer', 'eat chicken fish', 'chicken eat']","['I mostly eat chicken', 'I mostly eat chicken', 'I eat mostly chicken']"
5,187,5_meat_protein_eat meat_meat protein,"['meat', 'protein', 'eat meat', 'meat protein', 'eat meat protein', 'eat', 'cut', 'protein meat', 'meat provides', 'provides']","['I eat meat to get protein', 'I eat meat for protein', 'I eat meat for protein']"
6,141,6_times_week_eat_week eat,"['times', 'week', 'eat', 'week eat', 'eat meat', 'day eat', 'day', 'weekly', 'meat times', 'eat meat times']","['I eat meat a few times a week', 'I eat meat four or five times a week', 'I eat meat 2-3 times a week']"
7,141,7_family_meat_tradition_meat family,"['family', 'meat', 'tradition', 'meat family', 'eating', 'eating meat', 'eating meat family', 'family tradition', 'meateating', 'meat family tradition']","['Eating meat is a family tradition', 'Eating meat is a family tradition', 'Eating meat is a family tradition']"
8,118,8_vegetarian_vegan_vegetarian meals_meals,"['vegetarian', 'vegan', 'vegetarian meals', 'meals', 'friends', 'years', 'vegetarians', 'vegan vegetarian', 'vegetarian vegetarian', 'vegetarian vegan']","['I am vegetarian', 'I am vegetarian', 'I became vegetarian']"
9,114,9_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'welfare concerned', 'animal welfare concerned', 'welfare concerned animal', 'animals']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
10,105,10_eats_eats meat_family_meat meal,"['eats', 'eats meat', 'family', 'meat meal', 'family eats', 'regularly', 'meat regularly', 'family eats meat', 'meal', 'meat']","['My family eats meat regularly', 'My family eats meat regularly', 'My family eats meat regularly']"
11,104,11_meat_eat meat_eat_family,"['meat', 'eat meat', 'eat', 'family', 'eating meat', 'occasionally', 'eating', 'meat occasionally', 'enjoys', 'steak']","['My family also enjoys eating meat', 'Family enjoys eating meat', 'I eat meat often']"
12,101,12_health_concerned health_concerned_health concerns,"['health', 'concerned health', 'concerned', 'health concerns', 'concerns', 'motivated health', 'motivated', 'heart', 'health concerned', 'concerned health concerned']","['I am concerned about my health', 'I am concerned about health', 'I am concerned about my health']"
13,99,13_health_meat_concerns_environmental,"['health', 'meat', 'concerns', 'environmental', 'choices', 'meat choices', 'concerned', 'impact', 'concerned meat', 'influences']","['I have health concerns about meat', 'I consider environmental impact of meat', 'I consider environmental impact of meat']"
14,85,14_eat meat_eat_meat meals_eat meat meals,"['eat meat', 'eat', 'meat meals', 'eat meat meals', 'people', 'people know', 'people know eat', 'know eat', 'know', 'meat']","['Most people I know eat meat', 'Most people I know eat meat', 'Most people I know eat meat']"
15,80,15_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'want protein want', 'protein want protein', 'need', 'need protein', 'protein diet', 'high protein']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
16,78,16_concerned_environmental_impact_environmental impact,"['concerned', 'environmental', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
17,68,17_avoid_avoid eating_meats avoid_processed,"['avoid', 'avoid eating', 'meats avoid', 'processed', 'pork avoid', 'avoid processed', 'meat avoid', 'pork', 'meats', 'eating']","['I avoid processed meats', 'I avoid processed meats', 'I avoid processed meats']"
18,56,18_considered_reducing meat_eating_considered reducing meat,"['considered', 'reducing meat', 'eating', 'considered reducing meat', 'reducing', 'considered reducing', 'meat', 'vegetarians', 'social', 'eat pork']","['I have not considered reducing meat consumption', 'I have not considered reducing meat', 'I have not considered reducing meat']"
