label,baseline,a1_p01,a1_p23,a1_p45,a1_p6p,a1_delta,a2_p01,a2_p23,a2_p45,a2_p6p
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,0.48433295540438404,0.4050556586270872,0.4629768137621541,0.5748201438848921,0.6129824561403509,0.12864950073596682,-0.03288172801161523,-0.012431369515569468,0.029081466695133968,0.021254380509597402
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,0.613425925925926,0.5443708609271524,0.5935878054925674,0.6503623188405797,0.7458745874587458,0.13244866153281976,-0.05826084257795406,-0.00500913785868103,0.031760457746171,0.10423618340153852
03__qwen3-embedding-0.6b__run_20260210_221845_49de70a3,0.4622411186696901,0.4230553090801538,0.45684830633284246,0.4944862155388471,0.6037453183520599,0.14150419968236982,-0.021755079000927564,0.006185314124763846,0.020837456532760527,0.09076065846234299
04__bert-base-nli-mean-tokens__run_20260210_222655_488612a3,0.5446069538926681,0.42145969498910674,0.536322463768116,0.6380597014925373,0.6788778877887789,0.13427093389611078,-0.06179320997123041,0.011659794296176362,0.063327189792512,0.02524827515821327
05__all-MiniLM-L6-v2__run_20260210_222351_76cefc5d,0.5506878306878307,0.45487528344671196,0.5292971734148205,0.661489898989899,0.718284789644013,0.16759695895618232,-0.037211543680089595,-0.0032138937661047484,0.06731306130924608,0.06768091060489671
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,0.5792233560090703,0.5178494623655914,0.5664921465968586,0.6081560283687943,0.728956228956229,0.14973287294715876,-0.015397119014722183,0.005249242243637831,-0.0005716721542737819,0.09668796983879112
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,0.5381972789115647,0.4439102564102564,0.5376779577810505,0.5864661654135338,0.6707920792079208,0.13259480029635617,-0.051955450215902706,0.019520036801034913,0.057363421995033956,0.011909515837439783
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,0.6111999244142101,0.49533730158730155,0.6,0.6639705882352941,0.7865443425076453,0.17534441809343515,-0.06732322842211816,0.011690996134567599,0.03867507499836347,0.11401419233958729
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,0.6623752834467119,0.5764840182648402,0.6267790262172285,0.7291666666666666,0.7978395061728395,0.13546422272612757,-0.04188571080145061,-0.0046283619126530505,0.055497444844358465,0.07971212036999448
10__all-MiniLM-L6-v2__run_20260210_222517_e0058bf3,0.5465986394557822,0.4700591347650171,0.530438596491228,0.5886091127098321,0.6570446735395189,0.11044603408373665,-0.030472282663560515,-0.012133737948138577,0.013216364616921942,0.05274720233669028
