key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,11,1.0,1.0
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,17,1.0,1.0
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,1,1.0,1.0
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,1,1.0,1.0
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,1,0.06764300379609779,0.06764300379609779
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,7,1.0,1.0
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,7,1.0,1.0
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,11,1.0,1.0
242bdf6bc5bb0b94,1,I like the taste of meat,True,-1,0.03217659145287858,
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,12,1.0,1.0
242bdf6bc5bb0b94,1,I was raised on a farm,True,6,0.05644823407603467,0.05644823407603467
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,1,0.06667786719234363,0.06667786719234363
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,-1,0.2630695251280239,
242bdf6bc5bb0b94,1,I am chronically anemic,True,0,1.0,1.0
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,1,0.43157595937627574,0.43157595937627574
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,8,1.0,1.0
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,2,1.0,1.0
c0ac91fae56c6ec3,1,I eat meat every day,True,16,1.0,1.0
c0ac91fae56c6ec3,1,I like the taste of meat,True,-1,0.03217375443659448,
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,5,1.0,1.0
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,5,1.0,1.0
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,-1,0.2800139444507193,
c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,True,5,0.2596721644352415,0.2596721644352415
c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,True,8,1.0,1.0
c0ac91fae56c6ec3,1,Those around me eat meat regularly,True,22,1.0,1.0
c0ac91fae56c6ec3,1,Social contacts like the taste of meat,True,10,1.0,1.0
8f96fa223f234180,1,I eat meat whenever I choose to,True,18,1.0,1.0
8f96fa223f234180,1,I eat more chicken and fish now,True,15,1.0,1.0
8f96fa223f234180,1,I have tried to cut back on red meat,True,-1,0.08856508592614755,
8f96fa223f234180,1,I have tried to cut back on processed meat,True,-1,0.10107019855596899,
8f96fa223f234180,1,I am concerned about my health,True,0,0.330534626444769,0.330534626444769
8f96fa223f234180,1,I want to improve cholesterol and blood work,True,0,0.4685045274714783,0.4685045274714783
8f96fa223f234180,1,I do not control grocery shopping or meal planning,True,1,0.07176790310523151,0.024776274356473903
