embed_model_outname,run_id,run_dir,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,n_total,n_topics,dbcv,n_outliers,n_topic0,outlier_rate,topic0_ratio,outlier_0_ratio,distortion,mean_assigned_prob
bge-large-en-v1.5,20260207_195251_e09c2d3f,run_20260207_195251_e09c2d3f,30,2,0.1,75,5,3458,10,0.45488428780953033,202,1967,0.05841526894158473,0.5688259109311741,0.6272411798727588,0.15648795629528875,0.7810126422184092
bge-large-en-v1.5,20260207_195303_88aad651,run_20260207_195303_88aad651,45,2,0.1,25,5,3458,39,0.4479519451757943,428,222,0.12377096587622903,0.06419895893580103,0.18796992481203006,0.10688243520141828,0.5946810752366017
bge-large-en-v1.5,20260207_195329_adbd2d24,run_20260207_195329_adbd2d24,45,2,0.1,75,5,3458,21,0.4244862407480941,693,281,0.20040485829959515,0.08126084441873915,0.2816657027183343,0.12069217630579501,0.7580705959275991
bge-large-en-v1.5,20260207_195316_449f58eb,run_20260207_195316_449f58eb,45,2,0.1,50,5,3458,23,0.4092664228666027,635,281,0.18363215731636784,0.08126084441873915,0.264893001735107,0.11749132873316923,0.6586747073407367
bge-large-en-v1.5,20260207_195019_6c86d3c9,run_20260207_195019_6c86d3c9,15,10,0.1,75,5,3458,15,0.3667145676893752,589,362,0.17032967032967034,0.10468478889531521,0.2750144592249855,0.13526234904329468,0.6175578886420166
bge-large-en-v1.5,20260207_195138_979fc0bd,run_20260207_195138_979fc0bd,45,10,0.1,75,5,3458,18,0.33760874606859037,415,551,0.12001156737998843,0.15934065934065933,0.2793522267206478,0.12945165147994483,0.70668011958521
bge-large-en-v1.5,20260207_195215_cb811e23,run_20260207_195215_cb811e23,15,2,0.1,75,5,3458,8,0.32447512267397943,333,2202,0.09629843840370156,0.6367842683632158,0.7330827067669173,0.16358304790496825,0.8282157721437977
bge-large-en-v1.5,20260207_195007_a5071445,run_20260207_195007_a5071445,15,10,0.1,50,5,3458,22,0.31991563790479444,539,362,0.15587044534412955,0.10468478889531521,0.26055523423944477,0.12694164172310093,0.6509710700389356
bge-large-en-v1.5,20260207_195031_76fe0ec5,run_20260207_195031_76fe0ec5,30,10,0.1,25,5,3458,45,0.30636647440828635,544,209,0.15731636784268363,0.06043956043956044,0.21775592828224408,0.10381853212292422,0.5911362753325645
bge-large-en-v1.5,20260207_195226_e7610207,run_20260207_195226_e7610207,30,2,0.1,25,5,3458,44,0.2914169066115501,529,207,0.1529786003470214,0.05986119144013881,0.2128397917871602,0.10282774203952648,0.5924807890416084
bge-large-en-v1.5,20260207_195111_2d080cbe,run_20260207_195111_2d080cbe,45,10,0.1,25,5,3458,43,0.2851520260571575,579,205,0.16743782533256218,0.05928282244071718,0.22672064777327935,0.10119751753099845,0.6114681678542638
bge-large-en-v1.5,20260207_195058_ed92f16f,run_20260207_195058_ed92f16f,30,10,0.1,75,5,3458,17,0.2836193710586844,623,301,0.18016194331983806,0.08704453441295547,0.26720647773279355,0.13236450003147968,0.6983652555450113
bge-large-en-v1.5,20260207_194955_e8323d9f,run_20260207_194955_e8323d9f,15,10,0.1,25,5,3458,54,0.2344286931928079,492,225,0.14227877385772122,0.06506651243493349,0.20734528629265472,0.1023789106473196,0.6555803391733328
bge-large-en-v1.5,20260207_195203_1bd2663a,run_20260207_195203_1bd2663a,15,2,0.1,50,5,3458,22,0.22398017437885406,685,306,0.19809138230190862,0.08849045691150954,0.2865818392134182,0.12653303816995162,0.6614231008621444
bge-large-en-v1.5,20260207_195152_3444a003,run_20260207_195152_3444a003,15,2,0.1,25,5,3458,52,0.21371293300078414,458,234,0.1324465008675535,0.06766917293233082,0.20011567379988432,0.10295338545242945,0.6619076058403282
bge-large-en-v1.5,20260207_195239_fc06d2c1,run_20260207_195239_fc06d2c1,30,2,0.1,50,5,3458,21,0.18751335509823944,627,300,0.1813186813186813,0.08675534991324466,0.26807403123192597,0.12244861951694604,0.6549948098553088
bge-large-en-v1.5,20260207_195124_5db989bd,run_20260207_195124_5db989bd,45,10,0.1,50,5,3458,22,0.18270227120354704,254,551,0.07345286292654714,0.15934065934065933,0.23279352226720648,0.1263594503483076,0.5829017066808602
bge-large-en-v1.5,20260207_195045_8bc9273d,run_20260207_195045_8bc9273d,30,10,0.1,50,5,3458,22,0.16693379474553438,538,301,0.15558126084441873,0.08704453441295547,0.2426257952573742,0.12569026342810016,0.6179369323352245
