Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,573,OUTLIER,I enjoy eating meat,My parents served meat with dinner,I like the taste of meat,Some relatives hunt and eat game meats,Those around me eat meat regularly
0,504,"avoid, meat, red, red meat, pork, try, eating, consumption, eat, avoid eating",I avoid eating dark meat,I cut back on red meat,I have considered eating less meat to save money,I considered reducing meat after health issues,I avoid high animal fat options
1,242,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, chicken eat, prefer, eat fish",I mostly eat chicken,I used to eat a lot of seafood,I eat fish to feel physically and mentally better,I crave chicken sometimes,I eat salmon occasionally
2,182,"concerns, health, meat, alternatives, red meat, red, environmental, unhealthy, substitutes, meat alternatives",I am concerned about meat healthiness,I have concerns about processed fake meats,Red meat upsets my stomach,I have health concerns about red meat,I am concerned about health problems from meat
3,137,"health, concerned health, cholesterol, concerned, motivated, health concerns, concerns, motivated health, heart, cholesterol concerned",I have health concerns,I am concerned about health,I discuss health risks with my friend,I had colon cancer,I am concerned about my health
4,131,"husband, wife, red meat, red, meat health, reasons, friends, meat, meat husband, eats",Some family avoid red meat for health,My roommate rarely eats meat,People I know reduce meat for health reasons,Discussions with family prompt eating less meat,Some people avoid meat for dietary reasons
5,126,"expensive, meat expensive, prices, choices, meat prices, cost, meat, price, influences, meat choices",Red meat is expensive,The cost of beef is high,High meat prices reduce what I buy,Ethically-sourced meat is often too expensive,Meat is expensive at every meal
6,124,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal welfare,I worry about animal welfare,Exposure to animal rights documentaries,I am concerned about harming animals
7,118,"vegetarian, vegan, vegetarian meals, vegetarians, meals, friends, years, options, vegetarian options, eat vegetarian",I enjoy veggie burgers,I sometimes try vegan or vegetarian meals,I am happy with vegetarian meals,I lack confidence cooking vegetarian meals,I am an omnivore
8,112,"family, family eats, eats, family eats meat, eats meat, meat family, meat family eats, meat, eats meat family, eats meat regularly",My family eats meat as main portion,My family likes to eat meat,My family eats meat regularly,My family barbecues frequently,My family consumes lots of meat
9,102,"protein, protein meat, meat protein, source, iron, eat meat protein, protein eat, protein eat meat, meat, source protein",Easier to get protein from meat,Meat provides vitamins and protein,I find lean meats easiest for protein,Vegetables are my primary protein source,I see meat as a good protein source
10,93,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I need high protein intake,I want to get enough protein,I have a hard time getting enough protein,I was advised to limit protein,I want enough protein and nutrients
11,90,"times, week eat, week, meat times, eat meat times, week eat meat, weekly, eat, weekly eat, times week eat",I eat red meat up to twice a week,I eat meat four or five times weekly,I eat red meat 3-4 times weekly,I eat meat once or twice a week,I eat meat a few times a week
12,88,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I care about the environment,I am concerned about environmental impacts,I am concerned about environmental impact,I want to reduce environmental blueprint
13,86,"tradition, community, family, family tradition, eating, cultural, meat family tradition, eating meat family, meat, gatherings",Red meat is traditional in my culture,Meat is prevalent in my cultural cuisine,Meat is a cultural habit in my country,Eating meat is cultural in my family,Eating meat is a family tradition
14,82,"friends, friends eat, friends eat meat, family, meat friends, friends family, family friends, eat meat friends, friends family eat, eat meat",Most friends eat a lot of meat,All my friends and family eat meat regularly,My friends eat meat,My friends do not restrict meat,All my friends eat meat
15,80,"want, weight, weight want, lose, lose weight, healthy, lose weight want, want lose, want healthy, want healthier",I want to stay healthy,I want to avoid weight gain,I want stronger muscles,I want to avoid weight loss,I work out a lot
16,80,"eat meat regularly, meat regularly, regularly, eat meat, meat regularly eat, regularly eat, eat, regularly eat meat, meat eat meat, meat eat",I have always eaten and cooked with meat,I am used to eating meat at meals,I eat meat regularly,I eat meat for lunch and dinner,I eat common meat regularly
17,78,"crave, like, crave meat, meat crave, meat, eating, eat, available, meat available, like eating",I eat meat when craving it,I eat what I crave,I like meat,I eat whatever I am craving,I like eating meat
18,75,"day eat, day, day eat meat, meat day eat, meat day, eat meat day, daily eat, daily, daily eat meat, eat meat",I eat meat every day,I eat meat most days,I eat meat almost every day,I eat meat almost daily,I eat meat daily
19,67,"feel, meat tastes, tastes, incomplete, incomplete meat, filling, meat, incomplete meat meat, meat tastes good, tastes good",Meat tastes great with meals,Meat makes meals tastier,Meals feel incomplete without meat,Meat keeps me feeling full longer,Meat feels familiar and satisfying
20,63,"grew, grew eating, raised, grew eating meat, raised eating, eating, eating meat, meat grew, raised eating meat, meat grew eating",I was raised eating pork,I grew up eating meat,I was raised eating meat,I grew up eating meat-centered meals,I grew up eating a lot of meat
