Topic,Count,Name,Representation,Representative_Docs
-1,605,-1_meat_cook_love taste_love,"['meat', 'cook', 'love taste', 'love', 'taste', 'eating', 'eat', 'love taste meat', 'iron', 'home']","['I love the taste of meat', 'I love the taste of meat', 'I love the taste of meat']"
0,242,0_chicken_fish_eat chicken_turkey,"['chicken', 'fish', 'eat chicken', 'turkey', 'chicken fish', 'eat', 'chicken eat', 'chicken turkey', 'eat fish', 'eat chicken fish']","['I eat more chicken and fish now', 'I eat mostly chicken and fish', 'I eat more chicken and fish']"
1,201,1_consumption_red meat_red_limit,"['consumption', 'red meat', 'red', 'limit', 'meat consumption', 'cut', 'meat', 'try', 'reducing', 'reduced']","['I limit red meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
2,177,2_vegetarian_vegan_plantbased_vegetables,"['vegetarian', 'vegan', 'plantbased', 'vegetables', 'meals', 'vegetarian meals', 'plantbased meals', 'balance', 'balance meat', 'vegetarians']","['I am a vegetarian', 'I am a vegetarian', 'I am vegetarian']"
3,123,3_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'welfare concerned', 'animal welfare concerned', 'animals', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
4,117,4_expensive_meat expensive_prices_meat prices,"['expensive', 'meat expensive', 'prices', 'meat prices', 'cost', 'choices', 'price', 'influences', 'meat', 'meat choices']","['Meat is expensive for me', 'Meat is sometimes expensive', 'Meat is expensive']"
5,109,5_family_family eats_family eats meat_eats,"['family', 'family eats', 'family eats meat', 'eats', 'eats meat', 'meat family', 'meat family eats', 'eats meat family', 'meat', 'meals family']","['My family eats meat', 'Everyone in my family eats meat', 'My family eats meat']"
6,106,6_health_cholesterol_concerned health_concerned,"['health', 'cholesterol', 'concerned health', 'concerned', 'concerns', 'health concerns', 'health concerned', 'heart', 'concerned health concerned', 'cholesterol concerned']","['I am concerned about my health', 'I am concerned about my health', 'I am concerned about health']"
7,101,7_regularly eat_eat meat regularly_regularly_meat regularly eat,"['regularly eat', 'eat meat regularly', 'regularly', 'meat regularly eat', 'meat regularly', 'eat', 'regularly eat meat', 'eat meat', 'meat eat', 'occasionally']","['I eat meat regularly', 'I eat meat regularly', 'I eat meat regularly']"
8,93,8_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'protein want protein', 'want protein want', 'need', 'need protein', 'protein diet', 'high protein']","['I want enough protein', 'I want to get enough protein', 'I want to get enough protein']"
9,88,9_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'concerned environmental', 'environment', 'concerned environmental impact', 'environmental impact concerned', 'impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
10,86,10_meat meals_meals eat meat_meat meal_eat meat meals,"['meat meals', 'meals eat meat', 'meat meal', 'eat meat meals', 'meat meals eat', 'meals eat', 'meals', 'meal', 'eat meat meal', 'eat meat']","['I eat meat with most meals', 'I eat meat at most meals', 'I eat meat with most meals']"
11,76,11_friends_friends eat_friends eat meat_family,"['friends', 'friends eat', 'friends eat meat', 'family', 'meat friends', 'friends family', 'family friends', 'friends family eat', 'eat meat friends', 'family eat']","['My family and friends eat meat regularly', 'Family and friends eat meat regularly', 'Family and friends eat meat regularly']"
12,75,12_avoid_avoid eating_meat avoid_meats avoid,"['avoid', 'avoid eating', 'meat avoid', 'meats avoid', 'processed', 'avoid red meat', 'avoid red', 'red meat avoid', 'avoid processed', 'meats']","['I avoid eating red meat', 'I avoid eating red meat', 'I avoid eating red meat']"
13,73,13_protein_protein meat_meat protein_source,"['protein', 'protein meat', 'meat protein', 'source', 'eat meat protein', 'source protein', 'protein source', 'high protein', 'protein eat', 'meat good']","['I eat meat for protein', 'I get most of my protein from meat', 'I get protein from meat']"
14,68,14_times_week eat_meat times_week,"['times', 'week eat', 'meat times', 'week', 'eat meat times', 'week eat meat', 'weekly eat', 'weekly', 'times week', 'times week eat']","['I eat meat 2-3 times a week', 'I eat meat four times a week', 'I eat meat a few times a week']"
15,66,15_reasons_meat health_friends_meat health reasons,"['reasons', 'meat health', 'friends', 'meat health reasons', 'family', 'avoid meat', 'health', 'meat friends', 'reasons friends', 'health reasons']","['My mom eats less meat for health reasons', 'People avoid red meat for health reasons', 'Some social contacts avoid meat for health reasons']"
16,65,16_health_unhealthy_concerns_health concerns,"['health', 'unhealthy', 'concerns', 'health concerns', 'red meat', 'red', 'meat unhealthy', 'concerns red meat', 'concerns red', 'meat health concerns']","['I have health concerns about red meat', 'Health concerns about red meat', 'I have health concerns about red meat']"
17,65,17_tradition_family_community_family tradition,"['tradition', 'family', 'community', 'family tradition', 'eating meat family', 'meat family tradition', 'cultural', 'culture', 'meat family', 'eating']","['Eating meat is a family tradition', 'Eating meat is a family tradition', 'Eating meat is family tradition']"
