Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,724,OUTLIER,I grew up eating meat regularly,I grew up eating meat-centered meals,I eat mostly meat,I grew up eating meat at meals,I like the taste of meat
0,466,"want, protein, want protein, diet, weight, plantbased, vegetables, meals, healthy, healthier",I want to be healthier,I care about food texture,Convenience influences what I eat,I want to improve my health,I believe protein can come from alternatives
1,260,"family, eats, meat, eats meat, family eats, regularly, family eats meat, eat meat, meat regularly, friends",Family and friends include meat in meals,Meat is a part of everyday life,Meat is central in my family culture,My mother eats a lot of meat,My family members eat meat frequently
2,248,"meat, health, dislike, unhealthy, eating, environmental, concerns, choices, feel, believe",I dislike the taste of fish,My husband dislikes vegetable dishes,Pork does not agree with my stomach,I feel guilty eating animals,Changing family habits would be difficult
3,201,"meat, easy, believe, meat easy, good, prefer, protein, meat tastes, meat feels, tastes",Meat tastes great with meals,I find meat healthy and nutritious,I find meat delicious,Meat-centered meals feel complete,I think animal proteins are easy to replace
4,199,"chicken, eat chicken, fish, turkey, eat, chicken fish, chicken turkey, chicken eat, prefer, fish eat",I mostly eat chicken,I primarily eat chicken,I mainly eat chicken or fish,I eat beef and chicken regularly,"I eat steak, chicken, pork, and lunch meat"
5,176,"reduce, want, meat, try, want reduce, reduce meat, meat health, consumption, reducing, eat",I sometimes reduce meat due to health issues,I considered reducing meat for my health,People I know reduce meat for health reasons,I plan elimination and reintegration diets,Friends or family sometimes restrict meat for health
6,169,"avoid, avoid eating, pork, eating, meat avoid, avoid meat, red, meat, processed, red meat",I avoid too much processed meat,I avoid factory-farmed meat,I avoid processed meat products,I missed variety in vegetarian menus,I avoid fatty meats
7,118,"times, week, week eat, weekly, meat times, eat, eat meat times, weekly eat, times week, eat meat",I incorporate fish weekly,I rotate meat dinners each week,I eat meat at least once daily,I try to limit meat to once daily,I eat meat at least once a day
8,110,"vegetarian, vegan, vegetarian meals, meals, friends, years, vegetarians, vegetarian vegetarian, vegan vegetarian, vegetarian vegan",My family is vegetarian,I often choose vegetarian options,Friends were vegetarian as teenagers,Many social contacts are vegetarian,My eldest is a vegetarian
9,107,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, welfare concerned animal, animals",I am concerned about animal rights,I am concerned about animal welfare,I worry about animal welfare,Exposure to animal rights documentaries,Concern for animal welfare
10,100,"health, concerned health, concerned, health concerns, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have dental problems,Health concerns about diabetes,I had colon cancer,My wife has liver issues,My child is anemic
11,78,"concerned, environmental, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am environmentally conscious,I am concerned about the environment,I care about the environment,I am concerned about environmental impact
12,70,"red meat, red, limit red, limit red meat, meat, red meat consumption, limit, cut red, cut red meat, consumption",Red meat is traditional in my culture,I substitute red meat with alternatives,I have cut back on red meat,My doctor recommended cutting red meat,My family prefers red meat for flavor
13,69,"enjoy taste meat, enjoy taste, enjoy, taste meat, meat enjoy, taste meat enjoy, meat enjoy taste, taste, meat, flavor",I enjoy the taste of meat,I enjoy the flavor of meat,I enjoy having steak and ribs,I enjoy meat,Housemates enjoy the taste of meat
14,68,"eat meat, meat meals, eat meat meals, eat, people, people know, meals, know eat, people know eat, know",Most friends eat a lot of meat,I eat meat with most meals,Most people I know eat meat,I eat meat for most meals,I include meat in most meals
15,66,"protein, meat protein, eat meat protein, protein meat, protein eat meat, protein eat, eat meat, meat, meat protein eat, eat",I eat meat for protein and iron,I choose meat for protein,I use meat alternatives like tofu and Gardein,Meat gives us protein,I eat meat for iron
16,58,"enjoy eating, enjoy eating meat, meat enjoy eating, enjoy, meat enjoy, eating meat enjoy, eating meat, eating, meat love, eating meat love",I enjoy eating meat,I love to eat meat,I love eating meat,I like eating meat,I get satisfaction from eating meat
17,57,"rarely, rarely eat, eat, meat, meat eat, limited, meals, portions, rarely eats meat, eat smaller",I sometimes eat no meat,I rarely eat red meat,Meatless dinners are rare in my house,I often do not eat any meat,I restrict my diet to mostly meat
18,57,"eat meat, meat, crave, eat, meat eat meat, meat available, meat eat, people eat meat, meat filling, available",I eat meat when craving it,I crave the taste of meat,I eat meat when I want to,I cook meat when available,Meat fills me up
19,57,"day eat, day, eat meat day, meat day, meat day eat, day eat meat, daily eat, daily, meat daily, meat daily eat",I have meat-free days each week,I eat meat almost every day,I eat protein every day,I eat meat daily,I eat meat every day
