Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,661,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I like the taste of meat,Doctor recommended I eat lean beef,I eat lean beef to reduce fat
0,323,"want, plantbased, vegetables, diet, meals, healthy, healthier, food, foods, eat",Social contacts prefer plant-based meals,I value creativity in plant-based meals,My wife eats the same as I do,I can afford to buy fish,I eat whatever I feel like
1,307,"red, red meat, meat, consumption, avoid, limit, meat health, meat consumption, reasons, health",I skip meat at breakfast,Family and friends eat less red meat,I try to eat less meat for health,I have stopped eating beef,My husband eats less red meat
2,234,"meat, easy, good, believe, meat easy, protein, meat tastes, prefer, meat feels, tastes",Meat tastes great with meals,I enjoy the flavor of meat,I believe meat is good for you,I experienced health benefits from eating meat,Family eats healthier meat when possible
3,207,"expensive, meat expensive, meat, dislike, unhealthy, red meat, red, prices, meat prices, eating",I feel guilty about eating animals,Plant-based alternatives did not taste good,Red meat makes me feel sleepy,I dislike unethical farming,I dislike how animals are treated
4,192,"chicken, eat chicken, fish, turkey, chicken fish, eat, chicken turkey, prefer, eat chicken fish, chicken eat",I mostly eat chicken,I eat chicken for most meals,My significant other mostly eats chicken,Beef and chicken are my most eaten meats,"I prefer beef, pork, and chicken"
5,187,"meat, protein, eat meat, meat protein, eat, eat meat protein, cut, protein meat, provides, meat provides",I want to get protein from meat,I balance meat with plant-based meals,I balance meat and vegetarian products,I eat meat for protein,I need nutrients like iron from meat
6,181,"avoid, rarely, avoid eating, pork, meat, rarely eat, meat avoid, eating, processed, meats avoid",I avoid too much processed meat,I do not care about others' dietary choices,Chicken does not get stuck in my teeth,I prefer not to eat meat,I avoid steak and pork
7,141,"times, week, eat, week eat, eat meat, day eat, day, weekly, meat times, eat meat times",I eat red meat up to twice a week,I alternate beef and turkey weekly,I limit meat to two or three days weekly,I eat meat two to three times weekly,I try to limit meat to once daily
8,141,"family, meat, tradition, meat family, eating, eating meat, eating meat family, family tradition, meateating, cultural",Eating meat is a cultural habit in my family,I grew up in a hunting family,Meat is a cultural staple in my family,Meat is a cultural habit in my country,I live in Texas where meat-eating is common
9,118,"vegetarian, vegan, vegetarian meals, meals, friends, years, vegetarians, vegan vegetarian, vegetarian vegetarian, vegetarian vegan",My family is vegetarian,I have vegetarian friends,My sister is a vegetarian,I am vegetarian,I was vegan or vegetarian for years
10,114,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, welfare concerned animal, animals",I am concerned about animal rights,Exposure to animal rights documentaries,My mom cares about animal welfare,I am concerned about animal welfare,I am an animal welfare advocate
11,105,"eats, family, eats meat, meat meal, family eats, regularly, meat regularly, family eats meat, meat, meal",Family meals always include meat,I was raised eating meat with every meal,I eat meat at every meal,My family eats meat at every meal,I eat meat with every meal
12,104,"meat, eat meat, eat, family, eating meat, occasionally, eating, meat occasionally, enjoys, steak",I eat more meat during holidays,Family enjoys eating meat,I used to eat a lot of meat,I am used to eating meat,I occasionally enjoy steak at restaurants
13,101,"health, concerned health, concerned, health concerns, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,I have general health concerns,I am concerned about my health,I am concerned about health impacts,I had colon cancer
14,99,"health, meat, concerns, environmental, choices, meat choices, concerned, impact, concerned meat, influences",Learning about health shaped my meat habits,I have ethical concerns about meat,Friends require ethically sourced meat,Cost influences my meat choices,Availability influences my meat choices
15,85,"eat meat, eat, meat meals, eat meat meals, people, people know, meat, people know eat, know eat, know",Most friends eat a lot of meat,Most people around me eat meat,Meat is part of almost every meal locally,I eat meat with most meals,Most family members eat meat
16,80,"protein, want protein, want, protein want, want protein want, protein want protein, need, need protein, protein diet, high protein",I need high protein intake,I want more protein,I want to get enough protein,I want protein for energy and focus,I try to include more protein
17,78,"concerned, environmental, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I am concerned about environmental impacts,I am concerned about the environment,I care about the environment
