Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,444,OUTLIER,I enjoy eating meat,I like the taste of meat,I prefer beef for hamburgers and sloppy joes,Those around me eat meat regularly,My mood influences what meat I eat
0,239,"chicken, fish, eat chicken, turkey, eat, chicken fish, chicken eat, chicken turkey, eat fish, eat chicken fish",I mostly eat chicken,I increase chicken and fish for weight loss,Chicken and fish agree with me,I eat a lot of chicken and fish,"I regularly eat chicken, fish, and turkey"
1,237,"protein, want protein, want, believe, meat protein, source, protein meat, believe meat, iron, high protein",I have trouble getting protein elsewhere,I eat meat for protein,Physical activity increases protein and meat intake,I want foods high in protein,I want enough protein
2,226,"consumption, red meat, red, meat, meat consumption, limit, cut, try, reduce, reducing",I feel less full without eating meat,I try to reduce meat consumption,I think eating less meat is healthier,I am trying to reduce meat eating,I am reducing animal product consumption
3,222,"family, friends, family eats, meat family, eats, family eats meat, eats meat, friends eat, meat, friends eat meat",Most friends eat a lot of meat,My family eats meat frequently,My family likes to eat meat,My family includes meat in their meals,My friends include meat in their meals
4,210,"avoid, pork, avoid eating, meat avoid, beef, eating, red, red meat, processed, avoid pork",I avoid red meat and pork,I avoid eating animal products,I avoid processed meat,I avoid high animal fat options,I avoid eating red meat and pork
5,181,"vegetarian, vegan, plantbased, vegetables, meals, vegetarian meals, vegetarians, plantbased meals, balance, balance meat",I sometimes have vegetarian meals,I was raised vegetarian,I am vegetarian,I was vegan or vegetarian for years,I wish I could be vegetarian
6,153,"expensive, meat expensive, prices, meat prices, meat, choices, cost, convenient, price, meat easy",Red meat is expensive,Vegan food is too expensive for me,Non-meat options are not reasonably priced,Vegetarian options are unaffordable,I have price concerns
7,132,"concerns, health, red meat, red, environmental, unhealthy, health concerns, meat, concerned, impact",I am concerned about soy and estrogen,I am concerned about the environmental impact of beef,I am concerned about meat supply sustainability,I sometimes think about health risks of meat,I have health concerns about processed meat
8,123,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal pain,I am concerned about animal welfare,I am concerned about animal cruelty,I am sad about animal treatment on large farms
9,106,"want, weight, motivated, lose, weight want, motivated health, lose weight, healthy, health, want healthy",I want to be healthier,I want to lose weight,I want to be healthy,I want to stay healthy,I want to be as healthy as possible
10,101,"health, cholesterol, concerned health, concerned, concerns, health concerns, concerned health concerned, health concerned, heart, cholesterol concerned",I have health concerns,I am concerned about my health,I discuss health risks with my friend,I had colon cancer,My family has health challenges
11,97,"crave, occasionally, eat, meat eat, like, crave meat, steak, meat crave, meat occasionally, eat beef",I eat meat whenever I choose to,I value variety in types of meat,I crave meat,I eat meat when I crave it,I crave meat sometimes
12,88,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I am concerned about sustainability,I am concerned about climate change,My wife is environmentally conscious,I am environmentally conscious
13,77,"diet, balanced, moderation, balanced diet, want, meat moderation, variety, eat healthier, mindful, healthier",I am very conscious about my diet,I cannot stick to eating only salads,I want to enjoy meals regardless of health advice,I want to eat healthier and add variety,I want a more balanced diet
14,75,"day eat, day, day eat meat, meat day eat, meat day, eat meat day, daily eat, daily, daily eat meat, eat meat",I eat meat every day,I eat meat most days,I eat meat almost every day,I eat meat almost daily,I eat meat daily
15,73,"friends, reasons, meat health, family, meat health reasons, health, meat friends, avoid meat, red meat, red",Some family avoid red meat for health,Friends reduce meat for ethical reasons,Friends or family sometimes restrict meat for health,My family stopped eating meat,Discussions with family prompt eating less meat
16,71,"community, tradition, family, family tradition, eating, cultural, meat family tradition, eating meat family, eating meat, gatherings",Red meat is traditional in my culture,Eating meat is a family tradition,Group outings are seen as special occasions,Social gatherings involve eating good meats,Meat is a cultural staple in my family
17,70,"eat meat regularly, meat regularly, regularly, meat regularly eat, regularly eat, regularly eat meat, eat meat, eat, meat eat meat, meat eat",I have always eaten and cooked with meat,I eat meat regularly,I keep kosher and eat kosher meat,I eat meat,I am comfortable with my meat routine
18,70,"times, week eat, week, meat times, eat meat times, week eat meat, weekly, weekly eat, times week, times week eat",I eat meat five times per week,I eat meat two to three times weekly,I eat meat one to three times weekly,I eat meat four to five days weekly,I eat red meat up to twice a week
19,66,"husband, wife, partner, boyfriend, prefers, meat wife, eats, meat partner, wife eats, meat husband",My husband avoids red meat,My wife cannot tolerate beef,My husband loves steak and pork,My wife avoids red meat,My husband eats less red meat
20,63,"grew, grew eating, raised, grew eating meat, raised eating, eating, eating meat, meat grew, raised eating meat, meat grew eating",I grew up eating meat,I grew up eating meat regularly,Southern cuisine was central when growing up,I grew up eating a lot of meat,I was brought up eating meat
21,60,"meat meals, meals, eat meat meals, meals eat meat, meals eat, meat meals eat, eat meat, include, dinner, include meat",I eat meat for dinner most days,I eat meat with most meals,I eat meat with most dinners,I eat meat during dinner meals,I always include meat in my meals
22,58,"contacts, social contacts, social, meat social contacts, meat social, contacts eat, social contacts eat, contacts eat meat, eating meat social, taste meat social",Social contacts regulate red meat intake,Most close contacts eat meat,My social contacts eat meat for nutrition,Social contacts prefer eating meat,Social contacts eat meat out of habit
23,57,"meat tastes, tastes, filling, tastes good, meat tastes good, filling meat, meat, tastes good meat, meat fills, fills",Meat tastes great with meals,I feel energized after eating a burger,Meat keeps me feeling full longer,Meat feels familiar and satisfying,Meat tastes great to me
24,55,"ethical, grassfed, ethically, ethically sourced meat, sourced, sourced meat, ethically sourced, buy, eating animals, grassfed meat",I prefer grass-fed or ethical meat,Limited access to ethical meat sources,I notice meat-eating when thinking about health,I prefer sourcing meat from local producers,I prefer animal welfare-friendly meat
25,52,"habit, meat habit, eating, eating meat, eating meat habit, habit eating meat, habit eating, meat feels, eating meat feels, feels",My religious beliefs influence meat choices,Eating meat is a habit for me,Meat-eating is ingrained in my lifestyle,I feel self conscious eating beef with my roommate,Meat-eating is ingrained in our behavior
26,52,"enjoy taste meat, enjoy taste, meat enjoy, taste meat enjoy, meat enjoy taste, enjoy, taste meat, taste, meat enjoy flavor, flavor",I enjoy the taste of meat,I enjoy the flavor of some meats,I enjoy pleasant meat aromas during cooking,I enjoy the flavor of meat,I enjoy having steak and ribs
