Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,803,OUTLIER,I enjoy the taste of meat,I eat meat at least once a day,I grew up eating meat at meals,I eat meat at least once daily,I like the taste of meat
0,311,"family, social, contacts, social contacts, friends, meat family, meat, family eats, eats, family eats meat",My family eats meat most nights,My family serves meat with every meal,My family eats meat,Household members want meat for protein,My family barbecues frequently
1,298,"vegetarian, plantbased, vegan, vegetables, meals, husband, wife, alternatives, vegetarian meals, meat alternatives",I sometimes have vegetarian meals,I include plant-based proteins in meals,I enjoy veggie burgers,I have vegetarian friends,I occasionally eat vegan and meatless options
2,251,"meat, expensive, meat expensive, prices, choices, meat prices, crave, cost, influences, crave meat",Red meat is expensive,The cost of beef is high,Limited meat availability affects my choices,High meat prices would change my habits,Food availability during travel might influence eating
3,237,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken eat, chicken turkey, eat fish, eat chicken fish",I mostly eat chicken,I eat chicken for most meals,My significant other mostly eats chicken,My mother prepares chicken for me at gatherings,Beef and chicken are my most eaten meats
4,214,"meat, consumption, red meat, red, limit, meat consumption, cut, try, reducing, reduce",I considered reducing meat for my health,I want to eat less meat for health,I believe eating less meat helps the environment,I am trying to cut down on red meat,I feel better eating less red meat
5,201,"avoid, avoid eating, pork, meat avoid, eating, meat, beef, red, processed, meats avoid",I avoid red meat and pork,I avoid foods that cause allergies,I avoid beef,I try to avoid red meat,I avoid uncommon meats like rabbit
6,132,"protein, believe, protein meat, believe meat, meat protein, meat, source, eat meat protein, meat good, healthy",I think meat is a complete protein,I believe meat is nutrient-rich,I get protein from meat,I eat meat for protein,I focus on meat for protein
7,131,"concerns, health, red meat, red, meat, environmental, health concerns, unhealthy, concerned, impact",I am concerned about the environmental impact of beef,I feel medical advice about meat is misleading,I am concerned about cancer risk from red meat,I am aware of beef’s carbon footprint,I do not trust negative media about meat
8,121,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am aware of cruelty in the meat industry,I am in favor of animal rights,I consider animal intelligence,My mom cares about animal welfare
9,114,"eat meat, eat, eat meat regularly, meat meals, meat regularly, regularly, meat, meat regularly eat, meals eat meat, eat meat meals",I eat meat in most meals,I eat meat with most dinners,I eat meat regularly,I am a heavy meat eater,I eat meat at most meals
10,104,"times, week, meat times, week eat, eat, eat meat times, weekly, week eat meat, weekly eat, eat meat",I eat red meat occasionally,I eat meat two to three times daily,I eat meat five days a week,I eat meat multiple times a week,I eat red meat 3-4 times weekly
11,100,"health, cholesterol, concerned health, concerned, concerns, health concerns, health concerned, concerned health concerned, heart, cholesterol concerned",I have health concerns,I have high blood pressure,I have high cholesterol,I am concerned about health,I am concerned about my health
12,95,"want, weight, motivated, weight want, lose, motivated health, healthy, lose weight, health, lose weight want",My friends are concerned about weight,I want healthy hair,I want to stay healthy,I want to avoid weight loss,I work out and lift weights
13,93,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I need high protein intake,I want to get enough protein,I have trouble getting protein elsewhere,I want protein for energy and focus,I try to include more protein
14,92,"habit, eating, eating meat, meat habit, eating meat habit, meat, meat feels, eating meat feels, feels, natural",I eat more meat during holidays,Meat is just part of my diet,Eating meat is a habit for me,I sometimes eat meat during holidays,Christianity supports eating meat for me
15,85,"community, family, tradition, meat, eating, family tradition, cultural, meat family tradition, eating meat family, eating meat",Red meat is traditional in my culture,Eating meat is a family tradition,Meat is a cultural staple in my family,Meat is a cultural habit in my country,Meat is part of almost every meal locally
16,76,"diet, moderation, balanced, meat moderation, balanced diet, want, variety, eat healthier, mindful, healthier",I am very conscious about my diet,I aim for dietary balance,I want variety in my diet,I consider my meat consumption average,I eat smaller meat portions
