Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,539,OUTLIER,I enjoy the taste of meat,I eat meat at least once a day,Meat-eating is a family tradition,I eat meat at least once daily,I like the taste of meat
0,362,"avoid, meat, eating, red, red meat, feel, avoid eating, pork, meat avoid, meats",I avoid red meat and pork,Processed meats are unhealthy,I do not like meat,I don't like eating animals,I am not big on meat flavor
1,270,"social, friends, contacts, social contacts, people, meat, eat meat, meat social, friends eat, community",My social contacts eat meat for nutrition,Social contacts value convenience of meat consumption,Social contacts follow the same meat habits,My social group enjoys eating meat,My social contacts do not limit meat at all
2,255,"meat, consumption, red meat, red, meat consumption, eating, limit, cut, try, eating meat",I have stopped eating beef,I eliminated red meat from my diet,I try to reduce meat consumption,I am trying to cut down on red meat,I am thinking of cutting back on pork
3,225,"family, eats, family eats, meat family, eats meat, family eats meat, meat, meat family eats, parents, mom",Family enjoys eating meat,My family enjoys the taste of meat,My son and daughter-in-law eat mostly meat,My family finds red meat convenient,My family eats meat every day
4,216,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, prefer, eat fish, chicken eat",I mostly eat chicken,I prefer chicken over red meat,I interchange meats with fish and chicken,I like the taste of chicken and fish,"I eat mainly fish, shrimp, or chicken"
5,173,"protein, want protein, want, meat protein, iron, protein want, eat meat protein, need, protein eat, protein meat",I want to meet protein needs,I want to get proper nutrition,I have a hard time getting enough protein,I need protein,I want to get more protein
6,166,"want, motivated, diet, healthy, healthier, health, motivated health, want healthier, balanced, new",I am motivated by health concerns,I focus more on health as I age,I work out frequently,I like variety in my food,I care about my health
7,123,"plantbased, meals, vegetables, vegetarian, vegetarian meals, plantbased meals, meatless, balance, balance meat, eat plantbased",I sometimes eat no meat,I plan to eat more vegetables,I enjoy vegetables and salads,I am happy with vegetarian meals,I lack confidence cooking vegetarian meals
8,115,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, welfare concerned animal, animals",I am concerned about animal rights,I am concerned about animal welfare,I am concerned about harming animals,I am concerned about animal cruelty,I am sensitive about animal harm
9,106,"meat, meat easy, easy, convenient, filling, feel, meals, filling meat, convenient meat, meat convenient",Meat tastes great with meals,"Meals usually include beef, chicken, or burgers",Eating meat is convenient,Meat is satisfying and filling,Eating meat is easier than vegetarian meals
10,104,"meat meals, eat, eat meat meals, eat meat, meals eat, meals, meat meals eat, occasionally, meat, include meat",I eat red meat occasionally,I sometimes eat meat during holidays,I eat meat with most meals,I occasionally eat red meat,I eat meat most days
11,93,"expensive, meat expensive, prices, cost, meat prices, expensive meat, choices, price, limited, meat expensive meat",Red meat is expensive,I am concerned about meat prices,Ethically-sourced meat is often too expensive,Meat is expensive at every meal,Eating vegetarian was expensive for me
12,88,"health, concerned, concerned health, concerns, concerned health concerned, health concerned, cholesterol, health concerns, health concerned health, heart",I have health concerns,Doctor required me to watch fat intake,I am concerned about my health,I am concerned about health effects,I have high cholesterol
13,82,"environmental, concerned, impact, environmental impact, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",My sons are concerned about environment,I want a smaller environmental footprint,I am concerned about environmental impact,I am motivated by environmental concerns,I am concerned about the environment
14,79,"wife, husband, partner, prefers, boyfriend, eats, meat husband, meat wife, eating, red meat",My husband avoids red meat,My partner believes avoiding red meat is healthier,Significant other rarely eats meat,I enjoy eating meat with my husband,I make vegetable dishes when daughter visits
15,74,"eat meat, meat regularly eat, regularly eat, regularly eat meat, eat meat regularly, regularly, meat regularly, day eat, eat, meat day eat",I eat various meats regularly,I eat meat to maintain healthy weight,I eat meat regularly,I am a heavy meat eater,I eat meat daily
16,74,"times, week, week eat, meat times, eat meat times, weekly, week eat meat, weekly eat, times week, times week eat",I eat meat five times per week,I have reduced red meat to once every other week,I eat red meat two times a week,I eat meat one to three times weekly,I eat meat three days a week
17,70,"grew, grew eating, raised, grew eating meat, eating meat, raised eating, meat grew, eating, raised eating meat, meat grew eating",I was raised vegetarian,I was taught meat is part of life,I grew up eating meat regularly,I grew up eating meat,I grew up eating a lot of meat
18,69,"buy, buy meat, grassfed, prefer, sale, cheap, meat, affordable, ethically, chicken",I prefer grass-fed or ethical meat,I seek ethically sourced meat,I buy pre-packaged meat for sandwiches,Meat is affordable,"I seek organic, pasture-raised, grass-fed meat"
19,65,"enjoy eating, enjoy, enjoy eating meat, meat enjoy, eating meat enjoy, meat enjoy eating, eating meat, eating, meat, flavor",I think meat is delicious,I enjoy eating meat,I enjoy red meat,I like eating meat,I get satisfaction from eating meat
20,55,"believe, believe meat, meat feels, eating meat feels, feels, natural, health, meat, nutritious, normal",I think meat is a complete protein,I select meat for health benefits,I am health conscious about meat choice,Meat is believed essential for fitness in my group,I believe nutrients can come from non-meat sources
21,55,"crave, home, cook, crave meat, meat crave, meat available, meat, crave meat crave, meat crave meat, eat meat available",I eat meat when craving it,I cook lean meat at home,I cook pork chops at home,Cooking at home improves my health,I crave meat during my follicular phase
