Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,751,OUTLIER,I enjoy eating meat,I often do not eat any meat,I eat meat at least once a day,I grew up eating meat at meals,Meat-eating is a family tradition
0,302,"avoid, meat, red, red meat, pork, avoid eating, eating, meat avoid, meats, processed",I avoid red meat and pork,I think eating a lot of meat is unhealthy,Red meat causes health complications for me,I avoid red meat on weekdays,Eating meat may cause physical illness
1,288,"friends, social, contacts, social contacts, meat, eat meat, people, friends eat, eat, meat friends",Most close contacts eat meat,Some social contacts eat meat for protein,People I know enjoy the taste of meat,People around me like the taste of meat,Social contacts eat meat regularly
2,270,"chicken, fish, eat chicken, eat, prefer, chicken fish, turkey, buy, chicken turkey, eat fish",I mostly eat chicken,I eat a lot of chicken and fish,I interchange meats with fish and chicken,I eat chicken and beef most often,I mostly eat ground chicken or turkey
3,235,"family, eats, family eats, meat family, eats meat, family eats meat, meat, meat family eats, members, family members",My parents served meat with dinner,My family argues for more meat for nutrition,My family eats meat at every meal,My family eats meat traditionally,My family prefers beef more than I do
4,208,"meat, red meat, red, consumption, limit, meat consumption, reducing, cut, try, reducing meat",I eat red meat less frequently,I eat less meat than before,I stopped eating red meat as a teenager,I try to eat less meat for health,I eat less red meat now
5,198,"want, weight, motivated, diet, healthy, healthier, health, lose, lose weight, motivated health",I want to be as healthy as possible,I am on a low-carb diet,I want more longevity,I want to regulate my weight,I follow a ketogenic diet
6,160,"eat, eat meat, meat meals, meat, meals, crave, eat meat meals, occasionally, meals eat, meals eat meat",I eat red meat occasionally,I eat meat during dinner meals,I plan meals around meat,Meat is the meal standard for me,I mostly eat meat
7,152,"vegetarian, meals, plantbased, vegetables, vegan, vegetarian meals, plantbased meals, meatless, balance, balance meat",I sometimes eat no meat,I sometimes have vegetarian meals,I am happy with vegetarian meals,I lack confidence cooking vegetarian meals,I will eat more vegetables if prepared deliciously
8,118,"protein, want, want protein, protein want, protein want protein, want protein want, need, iron, need protein, high protein",I prioritize eating high protein foods,I want to get enough protein,I want protein for energy and focus,I try to include more protein,I want more protein
9,117,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I saw documentaries about animal ethics,I am in favor of animal rights,I consider animal intelligence,I approve eating animals if not cruel
10,113,"expensive, meat expensive, prices, cost, meat prices, alternatives, meat, choices, expensive meat, price",Red meat is expensive,Red meat is more expensive than chicken,Meat is too expensive for my budget,The cost of living affects my choices,I switch meat types due to cost
11,109,"health, concerned, concerned health, cholesterol, concerns, health concerns, concerned health concerned, health concerned, want reduce, want",I have health concerns,My husband has health concerns,I am concerned about health,I am concerned about my health,I had colon cancer
12,101,"meat, meat easy, easy, convenient, feel, meals, filling, convenient meat, meat convenient, filling meat",Meat tastes great with meals,Meat is easy to cook,Meat is a part of everyday life,Meat is available to cook,Meat tastes better than alternatives
13,90,"protein, believe, believe meat, meat protein, meat, eat meat protein, protein meat, protein eat meat, protein eat, protein believe",I believe meat is healthy,I get most of my protein from meat,I believe meat keeps muscles healthy,I get protein from meat,I eat meat for protein
14,84,"taste meat, taste, enjoy taste meat, enjoy taste, meat enjoy, taste meat enjoy, meat enjoy taste, enjoy, like taste meat, like taste",I like the taste of meat,I prefer eating fresh meat,I enjoy the taste of meat,Meat tastes good to me,I enjoy the protein in meat
15,83,"environmental, concerned, impact, environmental impact, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I am concerned about climate change,I care about the environment,I am concerned about the environment,I am concerned about chemical additives
16,79,"wife, husband, partner, prefers, boyfriend, eats, meat wife, meat husband, eating, meat",My husband avoids red meat,I live with my boyfriend,My wife cannot tolerate beef,My wife makes veggie dishes sometimes,My wife has similar eating habits
