Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,608,OUTLIER,I enjoy eating meat,Doctor recommended I eat lean beef,I eat lean beef to reduce fat,I do not control grocery shopping or meal planning,Eating meat feels natural to me
0,343,"meat, believe, expensive, believe meat, choices, processed, health, meats, prices, meat expensive",Meat is expensive,I care about the price of meat,Meat is relatively cheap,I cannot afford expensive meats,Rising meat prices are financially difficult
1,294,"chicken, fish, eat chicken, eat, turkey, chicken fish, vegetables, chicken turkey, eat fish, prefer",I choose chicken and turkey for health,I eat chicken and fish,"I eat beef, lamb, pork weekly",I mostly eat chicken or turkey,I eat turkey or chicken at other meals
2,231,"family, meat family, family eats, eats, family eats meat, eats meat, meat, friends, family eat, eat meat family",My children eat more meat than I do,My family eats meat regularly,My family eats meat with me,My family eats various meats,Family enjoys eating meat
3,188,"red, red meat, meat, eat red meat, eat red, cut, eating red, eating red meat, avoid red meat, avoid red",Red meat upsets my stomach,Working in restaurants discouraged red meat eating,I feel unwell after eating red meat,I believe red meat is unhealthy,My family has reduced red meat consumption
4,185,"want, weight, motivated, cholesterol, diet, healthy, healthier, lose, motivated health, health",I want to maintain a healthy weight,I seek balance in my meals,I want variety in my diet,"I want a balanced, healthy diet",I want to lose weight
5,142,"reducing, reducing meat, consumption, meat, considered, meat consumption, reduce, reduced, reduce meat, meat health",Vegetarian coworker encourages meat reduction,I tried a meat-free diet before,I have reduced eating meat to every other day,I try to reduce meat consumption,I reduce beef and pork for health reasons
6,136,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, vegetarian options, pescatarian, friends, years",I tried being vegetarian,I occasionally eat vegan and meatless options,I prepare vegan meals for social occasions,I am happy with vegetarian meals,I lack confidence cooking vegetarian meals
7,127,"animal, animal welfare, welfare, concerned animal, animals, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, welfare concerned animal",I am concerned about animal rights,I don't like eating animals,I consider animal cruelty in my choices,I believe animals should have ethical lives,I care about animal welfare
8,108,"taste meat, taste, enjoy taste meat, meat enjoy, enjoy taste, taste meat enjoy, enjoy, meat enjoy taste, meat like, meat like taste",I like the taste of meat,I love the taste of meat,I enjoy the flavor of some meats,I care about food texture,I enjoy the flavor of meat
9,107,"feel, filling, limit meat, meat, limit, try, try limit, moderation, try limit meat, eating",I try to limit my meat consumption,I think about my meat consumption,I try to limit meat to once daily,I limit the meat that I eat,I feel better with less meat
10,104,"meals, meal, eat meat meals, meat meals, eat meat, eat, meat meal, eat meat meal, meals eat, meat",I eat meat with some meals,I eat one large meal daily,I eat meat with every meal,I eat meat at every meal,Sometimes I eat meals without meat
11,95,"protein, want protein, want, protein want, protein want protein, want protein want, need, protein diet, high protein, need protein",I want to get enough protein,I need more protein,I want enough protein and nutrients,I want to keep muscle strong,I want a high protein diet
12,88,"protein, protein meat, meat protein, source, eat meat protein, protein source, meat, high protein, source protein, protein eat",I think meat is a complete protein,Physical activity increases protein and meat intake,I eat more protein that is non-meat,White meat is high in protein,Meat has high protein and low carb
13,86,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I want to reduce environmental blueprint,I am concerned about the environment,I care about the environment
14,81,"contacts, social contacts, social, meat social contacts, meat social, contacts eat, contacts eat meat, social contacts eat, friends, avoid meat",Social contacts are concerned about heart disease,Social contacts find meat nutritious,My social contacts do not limit meat at all,Social contacts eat meat regularly,Friends prioritize convenience over health
15,80,"meals, include, include meat, meat easy, meat, easy, convenient, include meat meals, cook, meat convenient",Meat makes meals tastier,Meat is usually included in dinners,I include meat while breastfeeding,Meat is easy to cook,My meals usually include meat
16,76,"eat meat day, meat day, day, eat meat, day eat, day eat meat, meat day eat, meat daily, daily, eat meat daily",I eat meat for dinner most days,I eat meat most days,I eat meat almost every day,I eat meat almost daily,Eating meat is part of my routine
17,76,"times, eat meat times, meat times, eat meat, week, week eat, week eat meat, weekly eat meat, weekly eat, weekly",I eat meat four or five times weekly,I eat meat 2-4 times a week,I eat meat less than once a week,I eat meat four to five times weekly,I eat meat multiple times a day
18,72,"health, concerned health, concerned, health concerns, concerns, concerned health concerned, health concerned, diabetes, heart, health concerned health",I have health concerns,I am concerned about chemical additives,I am concerned about health,I am concerned about my health,I am concerned about health impacts
19,64,"eat meat regularly, regularly eat, meat regularly eat, regularly eat meat, meat regularly, regularly, eat meat, eat, meat eat meat, meat",I eat meat regularly,I eat various meats regularly,I sometimes eat meat during holidays,I am used to eating meat,I eat wild game meats
20,58,"grew, grew eating, raised, grew eating meat, raised eating, eating meat, eating, meat grew, raised eating meat, eating meat grew",I was raised eating pork,I grew up eating meat,Southern cuisine was central when growing up,I grew up eating a lot of meat,I was brought up eating meat
21,58,"friends, community, friends eat, friends eat meat, gatherings, social, meat, community friends, friends enjoy, social gatherings",Most friends eat a lot of meat,Meat eating is normal in my community,My community farms and hunts meat,I enjoy social meals with meat,Friends regularly eat meat together
22,51,"people, meat people, know, people eat, people eat meat, eat meat people, people know, know eat, people know eat, meat people eat",People I live with eat meat,Most people around me eat meat,People around me like the taste of meat,Everyone in my life eats meat,People around me eat a lot of meat
