key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,11,1.0,1.0
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,20,1.0,1.0
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,4,0.2660899168578912,0.2660899168578912
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,4,1.0,1.0
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,17,1.0,1.0
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,8,1.0,1.0
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,8,1.0,1.0
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,11,1.0,1.0
242bdf6bc5bb0b94,1,I like the taste of meat,True,-1,0.006210555489719115,
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,5,1.0,1.0
242bdf6bc5bb0b94,1,I was raised on a farm,True,20,1.0,1.0
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,17,1.0,1.0
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,-1,0.07822957260653177,
242bdf6bc5bb0b94,1,I am chronically anemic,True,3,0.10083222817423176,0.08238723384998577
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,4,0.4608496797035451,0.4608496797035451
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,9,1.0,1.0
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,5,1.0,1.0
c0ac91fae56c6ec3,1,I eat meat every day,True,12,1.0,1.0
c0ac91fae56c6ec3,1,I like the taste of meat,True,-1,0.006216154063518103,
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,-1,0.08488365820386162,
c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,True,0,0.22793764804140174,0.22793764804140174
c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,True,9,1.0,1.0
