wave,round,subtask,subtask_label,n,median_min,q1_min,q3_min
1,1,intro,Read scenario,247,0.76,0.51,1.11
1,1,map,Place statements,247,1.52,1.02,2.03
1,1,edge_pos,Draw supporting links,247,2.55,1.79,3.87
1,1,edge_neg,Draw conflicting links,247,1.16,0.77,1.92
1,2,intro,Read scenario,247,0.49,0.18,0.78
1,2,map,Place statements,247,0.91,0.64,1.30
1,2,edge_pos,Draw supporting links,247,1.04,0.70,1.47
1,2,edge_neg,Draw conflicting links,247,0.80,0.54,1.23
1,3,intro,Read scenario,247,0.30,0.10,0.60
1,3,map,Place statements,247,0.74,0.48,1.15
1,3,edge_pos,Draw supporting links,247,0.91,0.67,1.30
1,3,edge_neg,Draw conflicting links,247,0.69,0.48,1.04
