key,real_w1,real_w2,training
01d6c865ad629e1f,1.5,2.0,1.905
0266776e84599980,1.667,1.2,2.19
036858a3a8430897,1.714,1.5,1.81
04311d2ad745c4c6,1.5,2.5,2.571
05dc9cc1ea5a74bc,1.556,2.8,2.0
06a4dd916c731ccf,1.143,0.857,1.333
086ecf273585a9a4,3.0,2.2,2.762
0abdb72dd1d9ebaf,1.75,3.25,2.095
0d3cc90a72fbaf72,1.5,1.25,2.286
0ec83457dd9ad9bb,1.0,2.571,2.0
0ef0a9479b25eda6,3.111,1.556,2.476
11e5443a9c9c5d6e,2.0,2.6,1.714
13acdf8c5c78ff2c,0.857,1.556,1.143
153e1235a7bc0b55,1.429,2.571,2.667
1940655aa6fd764b,2.857,2.222,2.762
1c2579f87fb55244,1.333,2.286,1.905
1c8a868b5e0ce4ef,3.111,2.571,2.857
1fcd68a516b33f04,1.25,1.0,1.81
234e7d4c1559a3d0,1.556,2.5,2.381
242bdf6bc5bb0b94,3.6,2.0,3.333
248480856d4a9c8c,1.2,1.111,2.095
24905a929f5aaec2,1.6,1.5,2.095
24e9f4a8dba444ba,5.2,4.333,3.619
24ea44f928c011ba,1.75,2.857,2.286
25c3702e02bdfd45,1.6,1.333,2.286
25d9c5f16c668c52,1.75,2.333,2.857
298335236c158975,2.25,1.143,1.714
2a27143cb3ff288a,2.667,3.2,3.143
2b66cc6ef7bd17ea,2.0,2.333,2.762
2bfe07abba85396f,1.556,2.444,2.0
2c779c0028c91422,3.143,3.2,2.476
2e7d088561cde19d,3.5,2.571,2.857
30f98abadffddf8e,1.25,1.2,2.476
3307a1b25ba01794,2.2,2.0,1.714
333a4e955656276f,2.286,1.5,2.095
337e9146d26fc3eb,1.667,1.333,2.476
338e11072f0a9a3c,1.75,2.222,2.762
36d1ca03b3d61873,1.0,0.889,1.333
3715bc392d7a07ee,3.143,4.0,2.286
37899912f4a5a971,1.5,2.333,1.619
3828779ad7644dd3,2.0,1.6,2.0
3a4931c85b6bb77d,3.143,1.4,3.143
3adb7e8ae191bee6,1.5,1.333,1.619
3d1ddc23b606b8c8,5.143,3.714,2.381
3e8a40a8a3361337,2.5,2.25,1.333
405ae83ad699f77e,1.143,1.0,1.619
41c5996495e366da,1.556,2.222,2.381
41f4d247212a91b7,2.6,2.0,2.381
436f8fdfd9f19736,1.556,1.778,1.143
44bb0706ca255d7e,2.25,1.143,1.905
4911e6bef9ac963c,2.4,2.222,2.667
4c0618a1f49cf2e9,1.4,2.4,2.667
4dc0b760b47b9e68,4.2,3.714,2.476
5152ad6df864fdab,2.5,2.444,2.571
520db7eff8e356ca,2.333,2.6,2.857
53cf43f573cc8f32,2.222,2.5,1.619
54b98e8a7620dd67,2.25,2.0,2.381
54cc4241bdbfff9e,2.857,1.8,2.857
56bf7903d2e713c7,1.778,1.111,2.286
57e921dbf3976ff9,1.333,3.8,2.381
