Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,492,OUTLIER,I love the taste of meat,My parents served meat with dinner,I am chronically anemic,Some relatives hunt and eat game meats,I prefer beef for hamburgers and sloppy joes
0,239,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken eat, chicken turkey, eat fish, eat chicken fish",I mostly eat chicken,I buy fried chicken from stores,I eat chicken for most meals,I interchange meats with fish and chicken,I eat a lot of chicken
1,226,"consumption, red meat, red, meat consumption, limit, cut, meat, try, reduce, reducing",I eat red meat less frequently,I try to reduce meat consumption,I considered reducing meat for my health,I eat less red meat now,I eat less red meat
2,132,"concerns, health, unhealthy, environmental, red meat, health concerns, red, impact, concerns red meat, concerns red",I believe pork is unhealthy,Family has concerns about red meat health effects,I feel unwell after eating lots of red meat,I think excess meat is unhealthy,I believe meat impacts the environment
3,123,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am an animal lover,I am concerned about animal welfare,I am an animal welfare advocate,My family values animal welfare,I watch animal welfare documentaries
4,109,"avoid, avoid eating, pork, pork avoid, meats avoid, avoid pork, processed, avoid red, avoid red meat, avoid processed",I avoid too much processed meat,I avoid eating red meat,I avoid eating too much of one meat type,I avoid highly processed deli meats,I never eat pork
5,109,"expensive, meat expensive, prices, meat prices, cost, choices, influences, price, expensive meat, meat choices",Red meat is expensive,Alternative meats are expensive,Meat is expensive for me,Non-meat options are not reasonably priced,I am aware meat costs can be high
6,109,"vegetarian, vegan, vegetarian meals, vegetarians, meals, years, vegan vegetarian, friends, vegetarian vegan, eat vegetarian",I am currently a vegetarian,Becoming vegetarian feels implausible,I plan to become vegan,I am vegetarian,I am a vegan
7,101,"cholesterol, health, concerned health, concerned, concerns, health concerns, concerned health concerned, health concerned, heart, cholesterol concerned",I have health concerns,I am concerned about health,I discuss health risks with my friend,I had colon cancer,I am concerned about my health
8,95,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I want to get enough protein,I want enough protein,I have a hard time getting enough protein,I was advised to limit protein,I want to consume enough protein
9,87,"family, family eats, family eats meat, eats, eats meat, meat family, meat family eats, eats meat family, eats meat regularly, regularly family",My family eats meat traditionally,My family likes to eat meat,My family likes the taste of meat,All my family eats meat,My family eats meat
10,77,"diet, balanced, moderation, balanced diet, meat moderation, want, variety, eat healthier, mindful, eat meat moderation",I am very conscious about my diet,"We focus on a varied, balanced diet",I try to keep a balanced diet,I want a balanced diet,I am more conscious about my diet
11,74,"protein, protein meat, meat protein, source, eat meat protein, source protein, protein source, protein eat, protein eat meat, high protein",I think meat is a complete protein,Easier to get protein from meat,I eat meat for protein,I eat beef for high protein,Meat is my main protein source
12,73,"reasons, friends, meat health, meat health reasons, avoid meat, family, meat friends, reasons friends, health, health reasons",Some family avoid red meat for health,Friends reduce meat for ethical reasons,Neighbors with heart issues eat less red meat,Friends avoid meat for animal welfare reasons,Family and friends eat less red meat
13,72,"crave, crave meat, meat crave, like, steak, meat eat, like eating, feel like, cravings, eat meat available",I eat meat when craving it,I eat meat if I crave it,I crave meat,I eat whatever I feel like,I crave filling meat-based dishes sometimes
14,70,"eat meat regularly, meat regularly, regularly, meat regularly eat, regularly eat, regularly eat meat, eat meat, meat eat meat, eat, meat eat",I eat meat regularly,I eat common meat regularly,I regularly eat meat,I keep kosher and eat kosher meat,I eat meat often
15,70,"times, week eat, meat times, week, eat meat times, week eat meat, weekly, weekly eat, times week, times week eat",I eat meat three days a week,I eat meat every three months,I eat meat 2-4 times a week,I eat meat four or five times weekly,I eat meat four to five days weekly
16,68,"friends, friends eat, friends eat meat, meat friends, friends family, family, family friends, friends family eat, family eat, family friends eat",My friends and family eat meat regularly,Family and friends eat meat regularly,Family and friends eat much more meat,My friends and family eat meat,People I live with eat meat
17,66,"husband, wife, partner, boyfriend, prefers, meat wife, eats, wife eats, meat partner, meat husband",My husband avoids red meat,My wife eats a partial vegetarian diet,I eat more meat when my wife cooks,My wife is a heavy meat eater,I motivate my wife to limit red meat
18,63,"grew, grew eating, raised, grew eating meat, raised eating, meat grew, raised eating meat, eating meat, eating, meat grew eating",I grew up eating meat,I grew up eating meat regularly,Southern cuisine was central when growing up,I grew up eating a lot of meat,I switched to eating meat as an adult
19,60,"meat meals, eat meat meals, meals, meals eat meat, meals eat, meat meals eat, include, dinner, eat meat, include meat",I eat meat most meals,I eat meat with most meals,I always include meat in my meals,I eat meat at most meals,I include meat in most meals
20,58,"contacts, social contacts, social, meat social contacts, meat social, contacts eat, social contacts eat, contacts eat meat, eating meat social, contacts value",Social contacts regulate red meat intake,Social contacts influence me to limit meat,Most close contacts eat meat,Most social contacts eat meat,My social contacts eat meat for nutrition
21,57,"meat tastes, tastes, filling, meat tastes good, tastes good, filling meat, meat fills, tastes good meat, fills, good meat",Meat tastes great with meals,Meat fills my family up faster,Meat makes meals easier to eat and enjoyable,Meat fills me up at dinner,Meat is satisfying and filling
22,57,"environment, concerned environment, concerned, environment concerned, climate, concerned climate, climate change, concerned climate change, change, care",I care about sustainability,I care about environmental impact,I care about the environment,I am motivated by environmental concerns,My wife is environmentally conscious
