Topic,Count,Name,Representation,Representative_Docs
-1,538,-1_meat_eat_eat meat_eating,"['meat', 'eat', 'eat meat', 'eating', 'eating meat', 'day', 'enjoy', 'love', 'enjoy eating', 'meat eat']","['I eat meat every day', 'I eat meat every day', 'I eat meat every day']"
0,301,0_avoid_red_red meat_meat,"['avoid', 'red', 'red meat', 'meat', 'avoid eating', 'pork', 'meat avoid', 'eating', 'meats', 'processed']","['I avoid eating red meat', 'I avoid eating red meat', 'I avoid eating red meat']"
1,289,1_friends_social_contacts_social contacts,"['friends', 'social', 'contacts', 'social contacts', 'meat', 'eat meat', 'people', 'friends eat', 'meat friends', 'eat']","['Family and friends eat meat regularly', 'My family and friends eat meat regularly', 'My social contacts eat meat regularly']"
2,282,2_family_meat family_eats_family eats,"['family', 'meat family', 'eats', 'family eats', 'eats meat', 'family eats meat', 'meat', 'eating meat family', 'eating', 'eating meat']","['My family eats meat', 'My family eats more meat', 'Everyone in my family eats meat']"
3,209,3_red meat_red_meat_consumption,"['red meat', 'red', 'meat', 'consumption', 'meat consumption', 'limit', 'reducing', 'cut', 'reducing meat', 'try']","['I limit red meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
4,200,4_eat meat_eat_meat_meat meals,"['eat meat', 'eat', 'meat', 'meat meals', 'crave', 'meals', 'eat meat meals', 'meals eat', 'meat eat', 'meat meal']","['I eat mostly meat', 'I eat meat', 'I eat meat']"
5,184,5_want_weight_motivated_diet,"['want', 'weight', 'motivated', 'diet', 'healthy', 'health', 'lose', 'motivated health', 'healthier', 'lose weight']","['I want to lose weight', 'I want to lose weight', 'I want to lose weight']"
6,160,6_vegetarian_meals_plantbased_vegetables,"['vegetarian', 'meals', 'plantbased', 'vegetables', 'vegan', 'vegetarian meals', 'plantbased meals', 'meatless', 'balance', 'balance meat']","['I became vegetarian', 'I am a vegetarian', 'I sometimes have vegetarian meals']"
7,118,7_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'animal welfare concerned', 'welfare concerned', 'welfare concerned animal', 'animals']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
8,114,8_expensive_meat expensive_prices_cost,"['expensive', 'meat expensive', 'prices', 'cost', 'meat prices', 'choices', 'alternatives', 'meat', 'expensive meat', 'price']","['Meat is too expensive', 'Meat is expensive', 'Meat is expensive']"
9,107,9_health_concerned_concerned health_cholesterol,"['health', 'concerned', 'concerned health', 'cholesterol', 'concerns', 'concerned health concerned', 'health concerned', 'health concerns', 'want reduce', 'want']","['I am concerned about health', 'I am concerned about my health', 'I am concerned about my health']"
10,99,10_meat_meat easy_easy_convenient,"['meat', 'meat easy', 'easy', 'convenient', 'feel', 'filling meat', 'meals', 'filling', 'convenient meat', 'meat convenient']","['Meat is easy to cook', 'Meat is easy to cook for everyone', 'Meat is easy to cook']"
11,99,11_fish_chicken_eat chicken_eat,"['fish', 'chicken', 'eat chicken', 'eat', 'fish eat', 'chicken fish', 'eat chicken fish', 'eat fish', 'turkey', 'chicken fish eat']","['I eat more chicken and fish', 'I eat chicken and fish', 'I eat mostly chicken and fish']"
12,87,12_protein_meat protein_iron_eat meat protein,"['protein', 'meat protein', 'iron', 'eat meat protein', 'protein meat', 'eat meat', 'eat', 'meat', 'protein eat meat', 'protein eat']","['I eat meat for protein', 'I eat meat to get protein', 'I eat meat for protein']"
13,87,13_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'protein want protein', 'want protein want', 'need', 'need protein', 'protein diet', 'protein try']","['I want more protein', 'I want enough protein', 'I want to get enough protein']"
14,84,14_wife_husband_partner_prefers,"['wife', 'husband', 'partner', 'prefers', 'boyfriend', 'eats', 'meat husband', 'meat wife', 'eating', 'red meat']","['My husband prefers eating meat', 'My wife prefers red meat', 'My wife eats the same as I do']"
15,84,15_taste meat_taste_enjoy taste meat_enjoy taste,"['taste meat', 'taste', 'enjoy taste meat', 'enjoy taste', 'meat enjoy', 'taste meat enjoy', 'meat enjoy taste', 'enjoy', 'like taste meat', 'like taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
16,84,16_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'concerned environmental', 'concerned environmental impact', 'environment', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
17,81,17_chicken_prefer_prefer chicken_fish,"['chicken', 'prefer', 'prefer chicken', 'fish', 'eat chicken regularly', 'chicken regularly', 'chicken fish', 'chicken turkey', 'turkey', 'eat chicken']","['I prefer chicken, turkey, and fish', 'I prefer chicken and fish', 'I prefer chicken and fish']"
18,73,18_grew_grew eating_raised_grew eating meat,"['grew', 'grew eating', 'raised', 'grew eating meat', 'eating', 'eating meat', 'meat grew', 'raised eating', 'raised eating meat', 'meat grew eating']","['I grew up eating meat', 'I grew up eating meat', 'We grew up eating meat']"
