Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,623,OUTLIER,I eat meat almost every day,I eat meat every day,I like the taste of meat,I was raised on a farm,Doctor recommended I eat lean beef
0,467,"want, protein, want protein, weight, diet, plantbased, vegetables, healthy, healthier, meals",I want to be healthier,I want to get enough protein,I want to lose weight,I want enough protein and nutrients,I enjoy shared meals with others
1,219,"easy, meat, meat easy, good, prefer, believe, protein, meat tastes, meat feels, tastes",Eating meat is convenient,Eating meat feels normal to me,I like clean meats,Meat is satisfying and filling,Meat has high protein and low carb
2,215,"chicken, eat chicken, fish, turkey, chicken fish, eat, beef, chicken turkey, prefer, eat chicken fish",I mostly eat ground chicken or turkey,I primarily eat chicken or turkey,I eat turkey or chicken at other meals,I enjoy the taste of poultry,I appreciate poultry's versatility
3,112,"family, meat family, tradition, eating meat family, family tradition, meat, meat family tradition, cultural, family eats, eating meat",Eating meat is a cultural habit in my family,Meat is embedded in my culture,Eating meat is a family habit,Eating meat is a habit for my family,Eating meat is part of my diet
4,110,"vegetarian, vegan, vegetarian meals, years, meals, vegetarians, friends, vegetarian vegetarian, vegan vegetarian, vegetarian vegan",I sometimes have vegetarian meals,I am more open to occasional vegetarian meals,My wife eats a partial vegetarian diet,I have vegetarian friends,Vegan family member influences some meals
5,108,"meat, eat meat, crave, meat available, crave meat, eat, available, people, people eat, eat meat available",I cook meat when available,Meat is filling,I am conscious of meat amount,I switched to eating meat as an adult,I am set in eating meat
6,100,"health, concerned health, health concerns, concerned, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,I am motivated by health advice,I am concerned about my health,I am concerned about health impacts,I discuss health risks with my friend
7,83,"red meat, red, limit red, limit red meat, stopped, red meat consumption, cut red, stopped eating, cut red meat, limit",I still eat red meat sometimes,I crave red meat occasionally,My family finds red meat convenient,I love the taste of red meat,Social contacts eat red meat frequently
8,82,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, environmental impact concerned, impact concerned, concerned environment",I am concerned about the environment,I am concerned about environmental impact,I am concerned about environmental impacts,I am cautious of the environment,My sons are concerned about environment
