Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,670,OUTLIER,I eat mostly meat,I eat meat,I grew up eating meat at meals,I like the taste of meat,I was raised on a farm
0,1065,"meat, eat, meals, eat meat, eating, beef, eating meat, meats, health, feel",I believe meat is healthy and high protein,I considered reducing meat for my health,Meat provides a lot of nutrition,I sometimes think about health risks of meat,I believe meat provides essential nutrients
1,450,"family, meat, friends, social, contacts, eating, social contacts, eats, eating meat, meat family",Family prefers foods with beef,Most of my family eat meat,A family member only eats white meat,My family eats meat most nights,My family consumes lots of meat
2,277,"chicken, fish, eat chicken, eat, pork, turkey, chicken fish, beef, eat fish, chicken turkey",I mostly eat chicken,Chicken is more sustainable and healthier,I interchange meats with fish and chicken,I like the taste of chicken and fish,I switch to poultry for burgers
3,269,"want, health, weight, concerned, cholesterol, motivated, concerned health, concerns, diet, health concerns",I want a balanced diet,I want to be healthier,I am more conscious about my diet,I try to eat healthier,I focus on balancing my diet
4,197,"red, red meat, meat, eat red meat, eat red, cut, eating red, eating red meat, avoid, avoid red",My uncles and father limit red meat,Suspicious smell or appearance discourages me,I eat less red meat,I eat less red meat now,My husband eats less red meat
5,186,"protein, want, want protein, meat protein, protein meat, protein want, source, high protein, meat, high",I feel sick without protein,I eat meat for protein,I enjoy the protein in meat,I want to get enough protein,I want protein for energy and focus
6,135,"vegetarian, vegan, vegetarian meals, meals, vegetarians, friends, options, pescatarian, vegetarian options, years",I sometimes have vegetarian meals,My parents are vegetarian,I lack vegan recipes I like,My nephew is vegan,I prepare vegan meals for social occasions
7,129,"animal, animal welfare, welfare, concerned animal, animals, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, welfare concerned animal",I am concerned about animal rights,A friend is concerned about animal suffering,My mom cares about animal welfare,I watch animal welfare documentaries,I feel guilty about animal suffering
8,80,"eat meat, times, eat meat times, meat times, eat, week, week eat meat, week eat, days, weekly eat",I sometimes avoid meat for days,I do intermittent fasting,I limit meat to two or three days weekly,I eat meat two to three times weekly,I eat meat two or three times weekly
