Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,716,OUTLIER,I enjoy eating meat,I grew up eating meat at meals,My religious beliefs justify eating animals,I like the taste of meat,Doctor recommended I eat lean beef
0,471,"want, protein, want protein, weight, diet, plantbased, vegetables, healthy, meals, healthier",I want to feel healthier,I eat more vegetables now,I want to get more protein,I want foods high in protein,I balance meals with vegetables and salad
1,211,"expensive, meat expensive, meat, dislike, unhealthy, red meat, red, hard, feel, eating",I have difficulty finding protein alternatives,I run out of the right foods sometimes,I do not like red meat taste,My wife dislikes pork,My wife cannot tolerate beef
2,205,"meat, protein, eat meat, meat protein, eat, eat meat protein, protein meat, meat meat, cut, crave",I eat meat when craving it,I eat meat for nutrients,I am conscious of meat amount,I plan to continue eating meat,I crave meat during my follicular phase
3,192,"chicken, eat chicken, fish, turkey, chicken fish, eat, chicken turkey, prefer, eat chicken fish, chicken eat",I mostly eat chicken,Chicken is filling and versatile,My significant other mostly eats chicken,Beef and chicken are my most eaten meats,"I prefer beef, pork, and chicken"
4,190,"avoid, avoid eating, pork, meat avoid, eating, avoid meat, red, meat, red meat, avoid pork",I avoid fatty meats,I avoid deli meats,I avoid eating intelligent animals,I avoid beef and pork,I avoid buying beef at grocery stores
5,173,"family, meat, eat meat, meat family, eat, people, eating, people eat meat, tradition, people eat",Family and friends include meat in meals,Eating meat is family tradition,Meat is a cultural staple in my family,Friends buy fresh meat from local farmers,Eating meat is cultural in my family
6,166,"easy, meat, good, believe, meat easy, protein, meat tastes, meat feels, tastes, feels",Meat is easy to cook,I like clean meats,I believe meat is not bad for you,I find meat easy to prepare,Meat helps me feel energized and healthy
7,118,"times, week, week eat, weekly, meat times, eat, eat meat times, weekly eat, times week, eat meat",I incorporate fish weekly,We eat fish more days of the week,"I rarely eat steak, only every few months",I ate only free range for a year,I eat meat at least once a day
8,104,"vegetarian, vegan, vegetarian meals, meals, years, vegetarians, friends, vegetarian vegan, vegan vegetarian, vegetarian vegetarian",My family is vegetarian,I am influenced by friends eating vegetarian meals,I became vegetarian,My husband became vegetarian,I sometimes try vegan or vegetarian meals
9,102,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, welfare concerned, animal welfare concerned, concerned, welfare concerned animal, animals",I am concerned about animal rights,Exposure to animal rights documentaries,Social contacts are motivated by animal welfare,I am concerned about animal welfare,Social contacts care about animal welfare
10,100,"health, concerned health, health concerns, concerned, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,I am concerned about health,I am concerned about heart disease,I am concerned about diabetes,I have had colon cancer
11,85,"consumption, reduce, reduce meat, meat consumption, meat health, reducing, reducing meat, health, try, meat",I try to limit my meat consumption,My partner limits meat consumption,I switch to non-meat alternatives when available,I want to eliminate meat from my diet,Health reasons prevent total meat elimination
12,78,"concerned, environmental, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I am environmentally conscious,I care about the environment,I am motivated by environmental concerns
13,76,"stopped, stopped eating, meat, meat eat, eating, eat, red meat, red, eat red, eat red meat",I eat more poultry and less pork,Multiple friends eat less meat now,I have reduced interest in eating meat,Non-meat high protein meals reduce meat intake,My family stopped eating meat
14,69,"enjoy taste meat, enjoy taste, meat enjoy, enjoy, taste meat, taste meat enjoy, meat enjoy taste, taste, meat, flavor",I enjoy the taste of meat,I enjoy the flavor of meat,I enjoy having steak and ribs,Housemates enjoy the taste of meat,People around me like the taste of meat
15,63,"meat meals, eat meat meals, eat meat, people, people know, eat, know eat, people know eat, know, meals",Most social contacts eat meat,My family members eat more meat than I do,Most close contacts eat meat,My family eats more meat than I do,Most recipes I know use meat
16,61,"red meat, red, limit red meat, limit red, cut red, cut red meat, meat, limit, cut, red meat consumption",Red meat is traditional in my culture,I have cut back on red meat,I love eating red meat,I enjoy red meat,I am trying to cut down on red meat
17,61,"family, eats, regularly, eats meat, meat regularly, family eats meat, family eats, meat regularly family, regularly family, eat meat regularly",Family meals always include meat,My family eats meat at every meal,My friends and family eat meat regularly,My family eats meat with every meal,My mother eats a lot of meat
18,57,"day eat, day, eat meat day, meat day, meat day eat, day eat meat, daily eat, daily, meat daily, meat daily eat",I have meat-free days each week,I eat meat almost every day,I eat protein every day,I eat meat daily,I eat meat every day
19,54,"meat meal, meal, eat meat meal, eaten, eaten meat, know eats, know eats meat, know, meat, eats meat",I eat meat at every meal,I have always been a meat eater,I have meat with every meal,I always include meat in my meals,I have always eaten meat
20,54,"environmental, concerns, impact, health, concerned, environmental impact, concerns meat, meat concerned, meat, impact meat",Environmental concerns about beef production,I have ethical concerns about meat,Eating meat may cause physical illness,I have acid reflux from some meats,I am concerned about meat origins and labeling
21,52,"rarely, rarely eat, eat, meat eat, meat rarely eat, meat rarely, limit meat eat, limited, meat, meals",I sometimes eat no meat,I rarely eat chicken or fish,I sometimes enjoy meals without meat,My son rarely eats meat,My roommate rarely eats meat
