Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,254,OUTLIER,I eat meat every day,I have no moral issues eating meat,Doctor recommended I eat lean beef,I do not control grocery shopping or meal planning,My mood influences what meat I eat
0,551,"avoid, meat, red, red meat, eating, pork, feel, beef, consumption, eating meat",I eat red meat less frequently,I prefer not to eat meat,I eat less meat than most people,I eat less red meat,I avoid steak and pork
1,290,"friends, social, contacts, social contacts, people, eat meat, meat, eat, friends eat, meat social",Those around me eat meat regularly,Socializing increases likelihood of eating meat,Social contacts also enjoy poultry,Social contacts eat red meat frequently,Most people around me eat a lot of meat
2,289,"chicken, fish, eat chicken, eat, prefer, chicken fish, turkey, chicken turkey, buy, eat fish","I eat steak, chicken, pork, and lunch meat",I eat only chicken and turkey,I eat beef and chicken regularly,"I eat chicken, beef, and pork",I eat chicken and turkey regularly
3,280,"family, meat family, eats, family eats, eats meat, family eats meat, meat, eating meat family, eating, tradition",My family regularly eats meat,My family eats meat every day,My son and daughter-in-law eat mostly meat,My family eats meat regularly,My family has not reduced meat consumption
4,203,"want, weight, motivated, diet, healthy, healthier, lose, health, motivated health, lose weight",I try to eat healthier,I want to live longer,I want to avoid weight loss,I want to stay healthy,I want healthy hair
5,146,"vegetarian, meals, plantbased, vegetables, vegetarian meals, vegan, plantbased meals, meatless, balance, balance meat",I sometimes eat no meat,I eat 'cheat meals' when unprepared,I occasionally eat vegan and meatless options,I enjoy veggie burgers,I sometimes enjoy meals without meat
6,133,"meat, protein, meat feels, meat easy, easy, feels, protein meat, feel, eating meat feels, eating meat",Meat tastes great with meals,Meat filled with synthetic chemicals,Eating meat is easier than vegetarian meals,Meat makes meals tastier,Meat makes meals easier to eat and enjoyable
7,130,"eat meat, eat, meat meals, meals eat, meals, meat meals eat, eat meat meals, meals eat meat, meat, meat meal",I usually have meat at breakfast,My typical meals usually include meat,I eat more meat during holidays,I include meat to complete meals,I eat meat with some meals
8,119,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I consider animal welfare ethical dilemmas,I am concerned about animal welfare,I am concerned about animal deaths,Concern for animal welfare
9,117,"health, concerned, concerned health, cholesterol, concerns, health concerns, health concerned, concerned health concerned, want reduce, want",I have health concerns,I am concerned about my health,I have digestive concerns,I have had colon cancer,Coronary heart disease risk concerns me
10,111,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, high protein, iron",I need high protein intake,My boyfriend wants a lot of protein,I require protein for athletic recovery,I want to get enough protein,I need protein in my diet
11,101,"protein, believe, believe meat, meat protein, eat meat protein, meat, protein eat meat, protein eat, eat meat, eat",I eat meat for protein,I value meat's high protein content,Vegetables are my primary protein source,I focus on meat for protein,I eat more protein that is non-meat
12,98,"expensive, meat expensive, prices, cost, meat prices, expensive meat, choices, price, meat, limited",Red meat is expensive,Meat price influences my choices,Meat is too expensive for my budget,I switch meat types due to cost,High meat prices would change my habits
13,90,"times, week, week eat, meat times, eat meat times, weekly, weekly eat, week eat meat, eat, eat meat",I eat meat five times per week,I eat meat 2-4 times a week,I eat beef three to four times weekly,I eat red meat two times a week,I eat meat four to five times weekly
14,88,"taste meat, taste, enjoy taste meat, enjoy taste, meat enjoy taste, taste meat enjoy, enjoy, meat enjoy, like taste meat, like taste",I enjoy the taste of meat,I like the taste of meat,I like how meat tastes,I prefer the taste of meat,I like how meat is prepared
15,83,"environmental, concerned, impact, environmental impact, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",My sons are concerned about environment,I am concerned about environmental impact,I am concerned about the environment,I am concerned about environmental impacts,I am concerned about food processing and pollution
16,80,"wife, husband, partner, prefers, boyfriend, eats, meat wife, meat husband, eating, husband prefers",My husband avoids red meat,My wife eats the same as I do,My husband likes eating meat,I cook meat for my husband,My wife suggests eating less meat
17,79,"grew, grew eating, raised, grew eating meat, eating, eating meat, raised eating, meat grew, raised eating meat, meat grew eating",I grew up eating meat,I was raised eating meat,I was raised eating pork,I grew up eating meat regularly,I grew up eating a lot of meat
18,63,"enjoy eating, enjoy eating meat, meat enjoy eating, enjoy, meat enjoy, eating meat enjoy, eating meat, eating, meat love, meat",I think meat is delicious,I eat wild game meats,I enjoy eating meat,I enjoy red meat,I like eating meat
19,52,"habit, meat habit, eating meat habit, eating, eating meat, moderation, habit eating, habit eating meat, meat moderation, meat",Eating meat prevents animal food waste,Habit and tradition encourage meat-eating,I believe in eating meat in moderation,Meat-eating is ingrained in my lifestyle,Meat-eating is ingrained in our behavior
20,51,"eat meat regularly, regularly, meat regularly, regularly eat, meat regularly eat, regularly eat meat, eat meat, eat, routine, meat",I eat various meats regularly,Eating meat is part of my routine,I eat meat regularly,I am used to eating meat,I eat meat to maintain healthy weight
21,50,"crave, meat crave, crave meat, different, meat crave meat, meat, eat meat, crave meat crave, eat meat crave, eat meat available",I eat meat when craving it,I eat different types of meat,I want to eat meat again,I am obsessed with being a carnivore,I crave meat during pregnancy
