Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,543,OUTLIER,I enjoy eating meat,I feel guilty about eating animals,My religious beliefs justify eating animals,I have no moral issues eating meat,Doctor recommended I eat lean beef
0,293,"avoid, red, red meat, meat, avoid eating, pork, meat avoid, eating, meats, processed",I avoid red meat and pork,I avoid high animal fat options,Health risks are associated with eating too much meat,I avoid steak and pork,I have digestive problems from eating too much meat
1,292,"friends, social, contacts, social contacts, people, eat meat, meat, eat, friends eat, meat social",Most friends eat a lot of meat,Friends regularly eat meat together,Social contacts eat meat out of habit,Social contacts eat meat similarly,Social contacts find meat nutritious
2,274,"chicken, fish, eat chicken, eat, prefer, chicken fish, turkey, chicken turkey, buy, eat fish",I mostly eat chicken,I mostly eat chicken or turkey,"I eat chicken, beef, and pork","I regularly eat chicken, fish, and turkey",I eat a lot of chicken and fish
3,259,"family, meat family, eats, family eats, eats meat, family eats meat, meat, eating meat family, eating, meat family eats",My family eats meat similarly,My family eats meat daily,My family likes the taste of meat,My family eats meat frequently,My family includes meat in their meals
4,201,"want, weight, motivated, diet, healthy, healthier, health, lose, motivated health, lose weight",I want to be as healthy as possible,I want to keep my family full,I want to eat healthier,I want to gain or keep weight,I am open to a balanced diet
5,188,"consumption, meat, red meat, red, limit, meat consumption, cut, try, reducing, reduce",I considered reducing meat for my health,I am trying to reduce meat consumption,I try to cut down on red meat,I reduced pork consumption significantly,I wish I ate less meat
6,148,"vegetarian, meals, plantbased, vegetables, vegetarian meals, vegan, plantbased meals, meatless, balance, balance meat",I sometimes eat no meat,I am trying to eat more vegetables,I eat more plant-based foods,I am happy with vegetarian meals,I want to eat more plant-based foods
7,129,"meat, meat easy, easy, meat feels, protein, protein meat, feels, feel, eating meat feels, source",Meat tastes great with meals,Meat is convenient,Meat is a part of everyday life,Meat is available to cook,Meat tastes better than alternatives
8,119,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal welfare,I am in favor of animal rights,I consider animal intelligence,I approve eating animals if not cruel
9,111,"protein, want, want protein, protein want, protein want protein, want protein want, need, need protein, high protein, iron",I need high protein intake,I want a high protein diet,I want to get enough protein,I want protein for energy and focus,I try to include more protein
10,104,"meat meals, meals, eat, eat meat, eat meat meals, meals eat, meat meals eat, meals eat meat, meat, cook",I eat red meat occasionally,Most dinners I cook include meat,I include meat while breastfeeding,I occasionally eat red meat,I eat meat most days
11,100,"protein, believe, meat protein, believe meat, eat meat protein, meat, protein eat meat, protein eat, eat meat, eat",I get most of my protein from meat,I believe meat keeps muscles healthy,I eat meat for protein,I focus on meat for protein,I consider health when choosing meat
12,100,"expensive, meat expensive, prices, cost, meat prices, expensive meat, choices, meat, price, limited",Red meat is expensive,Rising meat prices may reduce consumption,Limited money sometimes reduces meat consumption,Financial limitations affect my meat choices,Meat can be expensive for me
13,96,"health, concerned, concerned health, concerns, concerned health concerned, health concerned, cholesterol, health concerns, heart, concerned cholesterol",I have health concerns,I am concerned about my health,I am concerned about health effects,I have high cholesterol,I am concerned about health
14,92,"times, week, week eat, meat times, eat meat times, weekly, week eat meat, eat, eat meat, weekly eat",I have meat-free days each week,I eat meat multiple times a week,I eat meat at least once daily,I eat about five servings of meat a week,I limit meat to two or three days weekly
15,86,"taste meat, taste, enjoy taste meat, enjoy taste, meat enjoy taste, meat enjoy, taste meat enjoy, enjoy, like taste meat, like taste",I like the taste of meat,I prefer eating fresh meat,I enjoy the taste of meat,I enjoy pleasant meat aromas during cooking,I enjoy the protein in meat
16,83,"eat meat regularly, regularly, meat regularly, eat meat, regularly eat, meat regularly eat, eat, meat meal, meat meal eat, meal eat",I eat various meats regularly,I eat meat regularly,I eat meat every night for dinner,I eat meat often,I still eat meat at restaurants
17,83,"environmental, concerned, impact, environmental impact, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I am concerned about climate change,I care about the environment,I am concerned about the environment,I am concerned about chemical additives
18,79,"grew, grew eating, raised, grew eating meat, eating, eating meat, raised eating, meat grew, raised eating meat, meat grew eating",I was raised vegetarian,I was forcing myself to eat meat,I grew up eating meat,I learned meat-eating from childhood,I was raised eating meat
19,78,"wife, husband, partner, prefers, boyfriend, eats, meat wife, meat husband, eating, meat",My husband avoids red meat,My wife changed her eating habits with me,My eating habits influenced by my partner,My wife cannot tolerate beef,My wife makes veggie dishes sometimes
