Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,202,OUTLIER,I eat meat every day,I grew up eating meat at meals,I was raised on a farm,I have always eaten and cooked with meat,I enjoy eating meat regularly
0,1967,"meat, eat, chicken, eating, eat meat, red, red meat, meals, beef, avoid",Red meat is expensive,I eat meat a few times a week,Red meat is more expensive than chicken,I eat meat during dinner meals,Meat is a good source of protein
1,288,"friends, social, contacts, social contacts, meat, eat meat, eat, people, friends eat, meat friends",Most close contacts eat meat,Social contacts also eat meat out of habit,People around me eat a lot of meat,People I know enjoy the taste of meat,People around me like the taste of meat
2,278,"family, meat family, eats, family eats, meat, eats meat, family eats meat, eating, eating meat family, eating meat",My parents served meat with dinner,My family says meat tastes good,My family likes meat,My family likes to eat meat,I encourage family to eat organic meat
3,176,"protein, want, want protein, meat protein, iron, protein want, eat meat protein, protein eat, need, eat",I prioritize eating high protein foods,I aim to increase protein intake,I want a high protein diet,I want to get enough protein,I want to keep muscle strong
4,118,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I care about animal welfare,I am in favor of animal rights,I consider animal intelligence,I approve eating animals if not cruel
5,91,"health, concerned, concerned health, concerns, health concerns, cholesterol, concerned health concerned, health concerned, diabetes, heart",I have health concerns,Coronary heart disease risk concerns me,I am concerned about my health,I am concerned about health effects,I have high cholesterol
6,90,"love, enjoy eating, meat love, enjoy eating meat, enjoy, meat enjoy eating, eating meat, love taste, eating, meat enjoy",I think meat is delicious,I get satisfaction from eating meat,I enjoy eating meat,I love the taste of red meat,I like eating meat
7,85,"taste meat, taste, enjoy taste meat, enjoy taste, meat enjoy taste, taste meat enjoy, meat enjoy, enjoy, like taste meat, like taste",I like the taste of meat,I prefer eating fresh meat,I enjoy the taste of meat,Meat tastes good to me,I enjoy the protein in meat
8,82,"environmental, concerned, impact, environmental impact, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I hear about environmental impact in the news,I am concerned about the environment,I am concerned about chemical additives,I am concerned about environmental impact
9,81,"wife, husband, partner, prefers, eats, boyfriend, meat wife, meat, meat husband, eating",My husband avoids red meat,Girlfriend eats similar food at home,My significant other has IBS,My eating habits influenced by my partner,My wife cannot tolerate beef
