Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,769,OUTLIER,I enjoy the taste of meat,I eat meat at least once a day,I grew up eating meat at meals,I eat meat at least once daily,I like the taste of meat
0,324,"meat, expensive, meat meat, meat expensive, crave, prices, choices, meat prices, cost, meals",Red meat is expensive,Rising meat prices affect my purchases,Cheap meat products are widely available,High meat prices reduce what I buy,I look for meat deals when shopping
1,299,"family, friends, meat family, eats, meat, family eats, eats meat, family eats meat, friends eat, friends eat meat",My family eats meat every day,My family eats meat regularly,My family enjoys eating meat,My family members are meat eaters,My family has mixed meat preferences
2,254,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, chicken eat, prefer, eat fish",I mostly eat chicken,I try to eat more chicken,I prefer pork and chicken over beef,I sometimes substitute turkey for beef,"I enjoy eating beef, pork, chicken, seafood"
3,228,"avoid, avoid eating, pork, meat avoid, meat, eating, red, red meat, beef, processed",I often do not eat any meat,I miss meat when I do not eat it,I don't seek out meat,My mother avoids pork for health reasons,I dislike periods without eating meat
4,218,"meat, consumption, red meat, red, meat consumption, try, cut, reduce, reducing, limit",I aim to not waste meat as respect,I remove meat pieces from food,I am reducing meat consumption,I cut out red meat,I have thought about reducing meat
5,148,"protein, believe, meat, protein meat, believe meat, meat protein, source, eat meat protein, incomplete, meat good",I find lean meats easiest for protein,I eat meat to maintain healthy weight,Eating meat gives me energy,I eat meat for protein,I focus on meat for protein
6,132,"plantbased, vegetables, vegetarian, meals, alternatives, vegetarian meals, meat alternatives, substitutes, meat substitutes, plantbased meals",Eating vegetarian is cheaper for me,I am more open to occasional vegetarian meals,I prepare vegan meals for social occasions,I have easy access to fresh vegetables,I enjoy vegetables and salads
7,121,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal deaths,I consider animal intelligence,My mom cares about animal welfare,I am concerned about animal welfare
8,120,"cook, family, meat, community, tradition, meals, meat family, home, family tradition, eating",Red meat is traditional in my culture,I live in Texas where meat-eating is common,Meat is the meal standard for me,Meat eating is a tradition in my community,Meat is a part of everyday life
9,111,"concerns, health, red meat, red, environmental, meat, unhealthy, health concerns, concerned, impact",I believe pork is unhealthy,I consider environmental impacts of eating meat,I considered environmental impact of meat,I worry plant meat substitutes are highly processed,I am aware of ecological concerns from cattle production
10,105,"health, concerned health, concerned, health concerns, concerns, motivated, motivated health, cholesterol, health concerned, concerned health concerned",I have health concerns,I have dental problems,I am concerned about health,I am concerned about my health,I am concerned about health impacts
11,99,"eat meat, eat, eat meat regularly, meat meals, meat regularly, meals eat meat, regularly, meals eat, meat meals eat, eat meat meals",I eat meat for dinner most days,I still eat meat at restaurants,I am used to eating meat,I eat meat most nights,I eat meat regularly
12,98,"diet, balance, balance meat, balanced, moderation, want, try, balanced diet, new, foods",I am very conscious about my diet,Eating out limits my food choices,I want to eat healthier meals,I am open to a balanced diet,I limit how much meat I eat
13,98,"times, week, meat times, week eat, eat meat times, eat, weekly, week eat meat, weekly eat, eat meat",I eat red meat occasionally,I eat white meat twice a week,I eat beef occasionally,I eat about five servings of meat a week,I eat meat two to three times weekly
14,93,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I need high protein intake,I need protein,I struggle getting enough protein vegetarian,I want to get enough protein,I want protein for energy and focus
15,84,"habit, eating, eating meat, meat habit, eating meat habit, meat feels, eating meat feels, feels, meat, habit eating meat",Meat gets tiring when eaten too much,My religion restricts some meats,Eating meat is a habit for me,Christianity supports eating meat for me,I include meat while breastfeeding
16,80,"vegetarian, vegan, vegetarians, friends, years, vegan vegetarian, vegetarian friends, vegetarian vegan, vegan family, vegans",My family is vegetarian,My daughter is vegan,My parents are vegetarian,My nephew is vegan,I discuss meat-eating with vegans
17,77,"want, weight, weight want, lose, healthy, lose weight, lose weight want, want healthy, want lose, want healthier",I want to stay healthy,I lost significant weight over time,I want healthy hair,I want stronger muscles,I want to avoid weight loss
