Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,863,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I like the taste of meat,Doctor recommended I eat lean beef,I eat lean beef to reduce fat
0,460,"want, protein, want protein, diet, weight, plantbased, vegetables, meals, healthy, healthier",I want to be healthier,Group outings are seen as special occasions,Healthy eating is valued by social contacts,My husband shares my meal planning,I like variety in my diet
1,402,"avoid, meat, eating, reduce, red, red meat, health, reasons, want, meat health",I have no moral issues eating meat,I have not considered reducing meat,I avoid animal antibiotics and hormones,I switch to non-meat alternatives when available,I want to avoid killing animals
2,297,"family, meat, eats, eats meat, eat meat, eat, regularly, family eats, meat regularly, family eats meat",I eat wild game from family,Meat is a cultural habit in my country,Eating meat is cultural in my family,My family sees meat as a meal staple,Family plans meals around meat
3,259,"meat, health, eating, dislike, concerned, unhealthy, choices, concerns, environmental, eating meat",I dislike the taste of fish,Meat by-products grossed me out,I do not like limiting what I eat,I sometimes feel self-conscious eating all meats,I dislike yogurt
4,190,"meat, easy, believe, good, prefer, meat easy, protein, eating, meat tastes, tastes",Meat tastes great with meals,Meat-centered meals feel complete,Meat leaves me feeling satiated,Meat is affordable for me,I believe meat is healthy
5,181,"chicken, eat chicken, fish, eat, turkey, chicken fish, chicken turkey, prefer, chicken eat, eat chicken fish",I mostly eat chicken,I prefer poultry,I substitute red meat with chicken or turkey,My significant other mostly eats chicken,"I eat chicken, beef, and pork"
6,175,"eat, eat meat, times, week, week eat, day, day eat, weekly, meat day, day eat meat",I eat meat at least once a day,I eat meat at least twice a day,I have reduced white meat to twice a week,I eat beef three to four times weekly,I eat meat a few times weekly
7,162,"meat, protein, eat meat, meat protein, eat, eat meat protein, protein meat, protein eat, provides, meat provides",I eat meat when craving it,I eat meat to maintain healthy weight,I use meat alternatives like tofu and Gardein,Meat fuels my body,Meat gives us protein
8,110,"vegetarian, vegan, vegetarian meals, meals, friends, years, vegetarians, vegetarian vegetarian, vegan vegetarian, vegetarian vegan",My family is vegetarian,I was vegetarian for 19 years,My parents are vegetarian,My nephew is vegan,I prepare vegan meals for social occasions
9,100,"health, concerned health, concerned, health concerns, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,I have general health concerns,I am concerned about my health,I am concerned about health impacts,I discuss health risks with my friend
10,95,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, animal welfare concerned, welfare concerned, concerned, welfare concerned animal, animals",I am concerned about animal rights,I saw documentaries about animal ethics,I am in favor of animal rights,I consider animal intelligence,My mom cares about animal welfare
11,85,"eat meat, eat, meat meals, eat meat meals, people, meat, people know, meals, know eat, people know eat",Most friends eat a lot of meat,Most people around me eat meat,Meat is part of almost every meal locally,I eat meat with most meals,I eat meat most days
12,79,"concerned, environmental, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about the environment,I am concerned about chemical additives,I am concerned about environmental impact,I am concerned about environmental impacts
